sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0.001,0.001,0
29,0.001,0.001,0
30,0.003,0.003,0
31,0.003,0.003,0
32,0.004,0.004,0.001
33,0.006,0.006,0.001
34,0.01,0.01,0.002
35,0.014,0.014,0.002
36,0.019,0.022,0.003
37,0.03,0.039,0.011
38,0.039,0.051,0.015
39,0.045,0.061,0.021
40,0.057,0.079,0.041
41,0.065,0.095,0.055
42,0.075,0.119,0.075
43,0.087,0.151,0.099
44,0.105,0.184,0.13
45,0.13,0.221,0.168
46,0.145,0.259,0.215
47,0.171,0.304,0.266
48,0.194,0.359,0.319
49,0.214,0.412,0.374
50,0.241,0.476,0.448
51,0.261,0.52,0.497
52,0.279,0.562,0.542
53,0.292,0.599,0.581
54,0.312,0.644,0.631
55,0.342,0.688,0.678
56,0.364,0.722,0.714
57,0.392,0.756,0.749
58,0.419,0.783,0.777
59,0.443,0.808,0.804
60,0.46,0.836,0.833
61,0.487,0.859,0.857
62,0.51,0.883,0.881
63,0.529,0.903,0.901
64,0.548,0.914,0.914
65,0.563,0.929,0.929
66,0.583,0.948,0.948
67,0.598,0.955,0.955
68,0.616,0.964,0.964
69,0.633,0.966,0.966
70,0.65,0.971,0.971
71,0.662,0.975,0.975
72,0.678,0.978,0.978
73,0.687,0.983,0.983
74,0.699,0.986,0.986
75,0.708,0.989,0.989
76,0.719,0.991,0.991
77,0.728,0.993,0.993
78,0.736,0.994,0.994
79,0.749,0.994,0.994
80,0.758,0.995,0.995
81,0.763,0.995,0.995
82,0.768,0.995,0.995
83,0.776,0.997,0.997
84,0.782,0.997,0.997
85,0.792,0.998,0.998
86,0.798,0.998,0.998
87,0.803,0.999,0.999
88,0.808,0.999,0.999
89,0.814,0.999,0.999
90,0.824,0.999,0.999
91,0.831,0.999,0.999
92,0.837,1,1
93,0.842,1,1
94,0.846,1,1
95,0.85,1,1
96,0.86,1,1
97,0.863,1,1
98,0.872,1,1
99,0.874,1,1
100,0.876,1,1
101,0.882,1,1
102,0.883,1,1
103,0.885,1,1
104,0.887,1,1
105,0.887,1,1
106,0.887,1,1
107,0.891,1,1
108,0.894,1,1
109,0.901,1,1
110,0.904,1,1
111,0.907,1,1
112,0.909,1,1
113,0.913,1,1
114,0.917,1,1
115,0.919,1,1
116,0.92,1,1
117,0.92,1,1
118,0.922,1,1
119,0.924,1,1
120,0.926,1,1
121,0.928,1,1
122,0.929,1,1
123,0.93,1,1
124,0.931,1,1
125,0.933,1,1
126,0.935,1,1
127,0.935,1,1
128,0.938,1,1
129,0.939,1,1
130,0.94,1,1
131,0.942,1,1
132,0.943,1,1
133,0.949,1,1
134,0.949,1,1
135,0.951,1,1
136,0.951,1,1
137,0.953,1,1
138,0.954,1,1
139,0.955,1,1
140,0.956,1,1
141,0.956,1,1
142,0.958,1,1
143,0.96,1,1
144,0.96,1,1
145,0.961,1,1
146,0.961,1,1
147,0.965,1,1
148,0.965,1,1
149,0.966,1,1
150,0.968,1,1
