sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0.001,0.001,0
42,0.001,0.001,0
43,0.001,0.001,0
44,0.002,0.003,0
45,0.005,0.006,0
46,0.007,0.01,0
47,0.009,0.015,0
48,0.01,0.019,0.003
49,0.013,0.032,0.004
50,0.021,0.049,0.004
51,0.026,0.07,0.011
52,0.029,0.094,0.019
53,0.035,0.125,0.038
54,0.039,0.173,0.071
55,0.047,0.221,0.114
56,0.051,0.269,0.165
57,0.056,0.337,0.231
58,0.066,0.413,0.315
59,0.075,0.481,0.406
60,0.085,0.558,0.494
61,0.097,0.649,0.604
62,0.102,0.714,0.677
63,0.112,0.768,0.751
64,0.121,0.81,0.794
65,0.131,0.853,0.845
66,0.14,0.886,0.883
67,0.151,0.907,0.905
68,0.16,0.929,0.927
69,0.163,0.947,0.946
70,0.172,0.964,0.963
71,0.18,0.971,0.971
72,0.192,0.979,0.979
73,0.195,0.985,0.985
74,0.204,0.991,0.991
75,0.224,0.993,0.993
76,0.235,0.995,0.995
77,0.247,0.997,0.997
78,0.262,0.999,0.999
79,0.274,0.999,0.999
80,0.284,1,1
81,0.301,1,1
82,0.311,1,1
83,0.325,1,1
84,0.332,1,1
85,0.341,1,1
86,0.353,1,1
87,0.366,1,1
88,0.378,1,1
89,0.392,1,1
90,0.4,1,1
91,0.414,1,1
92,0.429,1,1
93,0.436,1,1
94,0.441,1,1
95,0.451,1,1
96,0.464,1,1
97,0.475,1,1
98,0.483,1,1
99,0.492,1,1
100,0.501,1,1
101,0.51,1,1
102,0.517,1,1
103,0.527,1,1
104,0.533,1,1
105,0.541,1,1
106,0.553,1,1
107,0.557,1,1
108,0.566,1,1
109,0.573,1,1
110,0.58,1,1
111,0.593,1,1
112,0.597,1,1
113,0.604,1,1
114,0.611,1,1
115,0.616,1,1
116,0.621,1,1
117,0.625,1,1
118,0.628,1,1
119,0.636,1,1
120,0.64,1,1
121,0.644,1,1
122,0.649,1,1
123,0.65,1,1
124,0.655,1,1
125,0.659,1,1
126,0.663,1,1
127,0.672,1,1
128,0.676,1,1
129,0.679,1,1
130,0.682,1,1
131,0.687,1,1
132,0.691,1,1
133,0.694,1,1
134,0.702,1,1
135,0.704,1,1
136,0.709,1,1
137,0.715,1,1
138,0.719,1,1
139,0.722,1,1
140,0.728,1,1
141,0.734,1,1
142,0.735,1,1
143,0.737,1,1
144,0.742,1,1
145,0.743,1,1
146,0.745,1,1
147,0.745,1,1
148,0.75,1,1
149,0.754,1,1
150,0.757,1,1
