sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0.001,0.001,0
34,0.001,0.001,0
35,0.002,0.002,0
36,0.002,0.004,0
37,0.002,0.005,0.001
38,0.006,0.014,0.002
39,0.007,0.018,0.003
40,0.011,0.03,0.01
41,0.016,0.045,0.019
42,0.017,0.059,0.034
43,0.022,0.085,0.054
44,0.025,0.118,0.085
45,0.034,0.16,0.126
46,0.039,0.217,0.181
47,0.048,0.277,0.233
48,0.058,0.34,0.3
49,0.071,0.402,0.367
50,0.082,0.476,0.453
51,0.101,0.552,0.532
52,0.114,0.641,0.631
53,0.128,0.704,0.698
54,0.142,0.755,0.75
55,0.152,0.812,0.809
56,0.168,0.861,0.86
57,0.188,0.906,0.905
58,0.202,0.927,0.926
59,0.219,0.949,0.948
60,0.24,0.965,0.965
61,0.259,0.979,0.979
62,0.269,0.987,0.987
63,0.283,0.993,0.993
64,0.302,0.996,0.996
65,0.319,0.998,0.998
66,0.333,1,1
67,0.344,1,1
68,0.359,1,1
69,0.377,1,1
70,0.39,1,1
71,0.402,1,1
72,0.415,1,1
73,0.427,1,1
74,0.435,1,1
75,0.448,1,1
76,0.463,1,1
77,0.469,1,1
78,0.481,1,1
79,0.495,1,1
80,0.505,1,1
81,0.52,1,1
82,0.534,1,1
83,0.54,1,1
84,0.551,1,1
85,0.56,1,1
86,0.571,1,1
87,0.586,1,1
88,0.597,1,1
89,0.602,1,1
90,0.611,1,1
91,0.617,1,1
92,0.629,1,1
93,0.639,1,1
94,0.65,1,1
95,0.663,1,1
96,0.67,1,1
97,0.676,1,1
98,0.68,1,1
99,0.683,1,1
100,0.692,1,1
101,0.7,1,1
102,0.704,1,1
103,0.714,1,1
104,0.719,1,1
105,0.728,1,1
106,0.73,1,1
107,0.735,1,1
108,0.742,1,1
109,0.748,1,1
110,0.751,1,1
111,0.758,1,1
112,0.763,1,1
113,0.765,1,1
114,0.768,1,1
115,0.774,1,1
116,0.778,1,1
117,0.78,1,1
118,0.781,1,1
119,0.787,1,1
120,0.792,1,1
121,0.796,1,1
122,0.8,1,1
123,0.802,1,1
124,0.809,1,1
125,0.81,1,1
126,0.811,1,1
127,0.814,1,1
128,0.817,1,1
129,0.822,1,1
130,0.826,1,1
131,0.827,1,1
132,0.832,1,1
133,0.84,1,1
134,0.843,1,1
135,0.846,1,1
136,0.85,1,1
137,0.852,1,1
138,0.854,1,1
139,0.858,1,1
140,0.86,1,1
141,0.864,1,1
142,0.867,1,1
143,0.869,1,1
144,0.872,1,1
145,0.875,1,1
146,0.876,1,1
147,0.878,1,1
148,0.879,1,1
149,0.881,1,1
150,0.883,1,1
