sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0.001,0.001,0
33,0.002,0.002,0
34,0.002,0.002,0
35,0.002,0.002,0
36,0.002,0.002,0
37,0.002,0.002,0
38,0.003,0.003,0
39,0.005,0.005,0
40,0.008,0.01,0.001
41,0.011,0.013,0.001
42,0.012,0.016,0.001
43,0.015,0.026,0.008
44,0.018,0.036,0.014
45,0.026,0.051,0.022
46,0.032,0.076,0.036
47,0.036,0.097,0.053
48,0.047,0.131,0.085
49,0.053,0.164,0.109
50,0.064,0.206,0.146
51,0.07,0.241,0.18
52,0.076,0.291,0.244
53,0.084,0.331,0.288
54,0.093,0.386,0.347
55,0.105,0.441,0.41
56,0.114,0.493,0.467
57,0.125,0.543,0.519
58,0.135,0.592,0.571
59,0.151,0.648,0.631
60,0.171,0.694,0.68
61,0.186,0.736,0.728
62,0.202,0.78,0.776
63,0.206,0.802,0.798
64,0.224,0.834,0.831
65,0.24,0.867,0.864
66,0.262,0.898,0.895
67,0.282,0.922,0.919
68,0.293,0.935,0.933
69,0.302,0.942,0.94
70,0.311,0.95,0.948
71,0.325,0.962,0.96
72,0.337,0.968,0.966
73,0.353,0.973,0.972
74,0.363,0.981,0.98
75,0.373,0.983,0.982
76,0.386,0.986,0.985
77,0.404,0.993,0.992
78,0.418,0.993,0.992
79,0.425,0.995,0.994
80,0.437,0.996,0.995
81,0.454,0.997,0.996
82,0.462,0.997,0.996
83,0.475,0.998,0.998
84,0.49,0.998,0.998
85,0.503,0.999,0.999
86,0.519,0.999,0.999
87,0.527,0.999,0.999
88,0.539,1,1
89,0.547,1,1
90,0.551,1,1
91,0.561,1,1
92,0.574,1,1
93,0.578,1,1
94,0.587,1,1
95,0.592,1,1
96,0.595,1,1
97,0.599,1,1
98,0.608,1,1
99,0.614,1,1
100,0.618,1,1
101,0.628,1,1
102,0.637,1,1
103,0.646,1,1
104,0.652,1,1
105,0.661,1,1
106,0.666,1,1
107,0.671,1,1
108,0.674,1,1
109,0.679,1,1
110,0.685,1,1
111,0.69,1,1
112,0.695,1,1
113,0.698,1,1
114,0.704,1,1
115,0.711,1,1
116,0.718,1,1
117,0.724,1,1
118,0.73,1,1
119,0.734,1,1
120,0.74,1,1
121,0.745,1,1
122,0.747,1,1
123,0.75,1,1
124,0.752,1,1
125,0.754,1,1
126,0.755,1,1
127,0.759,1,1
128,0.763,1,1
129,0.767,1,1
130,0.772,1,1
131,0.778,1,1
132,0.78,1,1
133,0.781,1,1
134,0.784,1,1
135,0.786,1,1
136,0.787,1,1
137,0.794,1,1
138,0.8,1,1
139,0.8,1,1
140,0.806,1,1
141,0.811,1,1
142,0.813,1,1
143,0.815,1,1
144,0.82,1,1
145,0.824,1,1
146,0.826,1,1
147,0.827,1,1
148,0.829,1,1
149,0.83,1,1
150,0.833,1,1
