sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0.001,0.001,0.001
21,0.002,0.002,0.002
22,0.005,0.005,0.005
23,0.01,0.01,0.01
24,0.014,0.014,0.014
25,0.022,0.022,0.022
26,0.028,0.028,0.028
27,0.038,0.038,0.038
28,0.041,0.041,0.041
29,0.055,0.055,0.055
30,0.068,0.068,0.068
31,0.081,0.083,0.083
32,0.098,0.101,0.101
33,0.116,0.12,0.12
34,0.133,0.141,0.141
35,0.162,0.177,0.177
36,0.197,0.22,0.22
37,0.216,0.247,0.247
38,0.235,0.281,0.281
39,0.25,0.313,0.313
40,0.278,0.363,0.363
41,0.302,0.402,0.402
42,0.32,0.45,0.45
43,0.352,0.512,0.512
44,0.362,0.55,0.55
45,0.386,0.601,0.601
46,0.411,0.647,0.647
47,0.431,0.689,0.689
48,0.45,0.722,0.722
49,0.458,0.749,0.749
50,0.482,0.798,0.798
51,0.495,0.834,0.834
52,0.507,0.859,0.859
53,0.516,0.877,0.877
54,0.523,0.898,0.898
55,0.541,0.919,0.919
56,0.555,0.934,0.934
57,0.569,0.945,0.945
58,0.583,0.953,0.953
59,0.595,0.964,0.964
60,0.598,0.969,0.969
61,0.609,0.974,0.974
62,0.617,0.985,0.985
63,0.633,0.987,0.987
64,0.646,0.989,0.989
65,0.651,0.992,0.992
66,0.662,0.994,0.994
67,0.667,0.995,0.995
68,0.677,0.996,0.996
69,0.683,0.996,0.996
70,0.69,0.997,0.997
71,0.699,0.998,0.998
72,0.708,0.999,0.999
73,0.714,0.999,0.999
74,0.719,1,1
75,0.728,1,1
76,0.732,1,1
77,0.741,1,1
78,0.751,1,1
79,0.757,1,1
80,0.764,1,1
81,0.77,1,1
82,0.777,1,1
83,0.784,1,1
84,0.786,1,1
85,0.792,1,1
86,0.795,1,1
87,0.802,1,1
88,0.805,1,1
89,0.812,1,1
90,0.816,1,1
91,0.821,1,1
92,0.828,1,1
93,0.833,1,1
94,0.837,1,1
95,0.839,1,1
96,0.841,1,1
97,0.843,1,1
98,0.847,1,1
99,0.851,1,1
100,0.854,1,1
101,0.854,1,1
102,0.857,1,1
103,0.861,1,1
104,0.865,1,1
105,0.872,1,1
106,0.873,1,1
107,0.878,1,1
108,0.88,1,1
109,0.881,1,1
110,0.884,1,1
111,0.89,1,1
112,0.89,1,1
113,0.893,1,1
114,0.893,1,1
115,0.897,1,1
116,0.9,1,1
117,0.902,1,1
118,0.903,1,1
119,0.905,1,1
120,0.907,1,1
121,0.908,1,1
122,0.91,1,1
123,0.913,1,1
124,0.913,1,1
125,0.914,1,1
126,0.914,1,1
127,0.914,1,1
128,0.915,1,1
129,0.916,1,1
130,0.916,1,1
131,0.917,1,1
132,0.917,1,1
133,0.917,1,1
134,0.918,1,1
135,0.922,1,1
136,0.923,1,1
137,0.923,1,1
138,0.923,1,1
139,0.924,1,1
140,0.924,1,1
141,0.926,1,1
142,0.926,1,1
143,0.926,1,1
144,0.928,1,1
145,0.928,1,1
146,0.928,1,1
147,0.929,1,1
148,0.931,1,1
149,0.932,1,1
150,0.932,1,1
