sigma,lowerBound,upperBound
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,1.8e-05
18,0,6.8e-05
19,0,0.000226
20,0,0.000658
21,0,0.001554
22,0,0.003396
23,0,0.00633
24,0,0.010952
25,0,0.017698
26,0,0.027068
27,0,0.03919
28,0,0.054258
29,0,0.072268
30,0,0.093144
31,0,0.11686
32,0,0.14347
33,2e-06,0.17229
34,9e-06,0.20303
35,2e-05,0.23548
36,3.4e-05,0.26938
37,6.1e-05,0.30453
38,0.000113,0.34001
39,0.000192,0.37675
40,0.000329,0.41363
41,0.000518,0.45025
42,0.000777,0.48682
43,0.001183,0.52318
44,0.001698,0.5593
45,0.002356,0.59507
46,0.003165,0.63027
47,0.004208,0.66469
48,0.005476,0.698
49,0.006955,0.73126
50,0.008849,0.7628
51,0.011047,0.79389
52,0.013534,0.82373
53,0.016373,0.8531
54,0.019595,0.88129
55,0.023132,0.90885
56,0.027129,0.93545
57,0.031425,0.96093
58,0.036134,0.98561
59,0.041186,1
60,0.046572,1
61,0.052329,1
62,0.05843,1
63,0.065017,1
64,0.071733,1
65,0.078775,1
66,0.086147,1
67,0.093589,1
68,0.10151,1
69,0.10964,1
70,0.11774,1
71,0.12604,1
72,0.13469,1
73,0.14342,1
74,0.15227,1
75,0.16111,1
76,0.17,1
77,0.17918,1
78,0.18837,1
79,0.19755,1
80,0.20682,1
81,0.216,1
82,0.22512,1
83,0.23421,1
84,0.24341,1
85,0.25264,1
86,0.26159,1
87,0.27076,1
88,0.27965,1
89,0.28863,1
90,0.29753,1
91,0.30637,1
92,0.31514,1
93,0.32387,1
94,0.33235,1
95,0.34075,1
96,0.349,1
97,0.35731,1
98,0.36563,1
99,0.37359,1
100,0.3814,1
101,0.38937,1
102,0.39694,1
103,0.40438,1
104,0.41187,1
105,0.41923,1
106,0.42655,1
107,0.4336,1
108,0.44065,1
109,0.44759,1
110,0.45443,1
111,0.46125,1
112,0.46772,1
113,0.47418,1
114,0.48046,1
115,0.48663,1
116,0.4928,1
117,0.49883,1
118,0.50474,1
119,0.51055,1
120,0.51627,1
121,0.52192,1
122,0.52756,1
123,0.53304,1
124,0.53843,1
125,0.54369,1
126,0.54885,1
127,0.55383,1
128,0.55887,1
129,0.56383,1
130,0.56866,1
131,0.57342,1
132,0.57808,1
133,0.58257,1
134,0.58696,1
135,0.59142,1
136,0.59577,1
137,0.59995,1
138,0.60413,1
139,0.60823,1
140,0.61216,1
141,0.61603,1
142,0.61992,1
143,0.62369,1
144,0.62745,1
145,0.63119,1
146,0.63485,1
147,0.63843,1
148,0.64178,1
149,0.64528,1
150,0.64859,1
