sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0.001,0,0,0
30,0.001,0,0,0
31,0.004,0,0,0
32,0.004,0,0,0
33,0.007,0,0,0
34,0.013,0,0.001,0
35,0.016,0,0.004,0
36,0.019,0,0.005,0
37,0.023,0.002,0.005,0.001
38,0.031,0.005,0.01,0.003
39,0.035,0.005,0.02,0.004
40,0.052,0.006,0.029,0.005
41,0.06,0.009,0.037,0.009
42,0.076,0.014,0.063,0.019
43,0.095,0.02,0.084,0.03
44,0.111,0.026,0.122,0.042
45,0.134,0.03,0.15,0.06
46,0.15,0.034,0.183,0.089
47,0.174,0.045,0.22,0.127
48,0.195,0.055,0.254,0.164
49,0.22,0.069,0.292,0.222
50,0.238,0.089,0.341,0.279
51,0.254,0.107,0.399,0.333
52,0.277,0.139,0.439,0.416
53,0.295,0.167,0.473,0.49
54,0.312,0.195,0.506,0.549
55,0.337,0.237,0.555,0.608
56,0.36,0.276,0.588,0.659
57,0.383,0.315,0.619,0.73
58,0.403,0.356,0.65,0.779
59,0.432,0.409,0.677,0.816
60,0.452,0.457,0.714,0.852
61,0.471,0.518,0.74,0.883
62,0.488,0.557,0.759,0.903
63,0.508,0.596,0.774,0.92
64,0.527,0.641,0.795,0.935
65,0.549,0.69,0.811,0.952
66,0.567,0.731,0.826,0.964
67,0.592,0.76,0.844,0.974
68,0.603,0.794,0.86,0.979
69,0.618,0.832,0.871,0.982
70,0.63,0.86,0.88,0.986
71,0.644,0.881,0.886,0.99
72,0.656,0.895,0.895,0.99
73,0.674,0.906,0.905,0.992
74,0.686,0.92,0.91,0.994
75,0.697,0.929,0.916,0.996
76,0.709,0.939,0.924,0.998
77,0.719,0.95,0.926,0.998
78,0.73,0.959,0.928,0.998
79,0.741,0.968,0.93,0.998
80,0.751,0.97,0.934,0.998
81,0.76,0.974,0.942,0.998
82,0.767,0.978,0.947,0.998
83,0.775,0.983,0.948,0.999
84,0.781,0.986,0.952,0.999
85,0.793,0.987,0.954,0.999
86,0.799,0.989,0.957,0.999
87,0.806,0.991,0.959,0.999
88,0.817,0.992,0.96,0.999
89,0.825,0.993,0.962,1
90,0.83,0.995,0.963,1
91,0.838,0.995,0.965,1
92,0.841,0.997,0.967,1
93,0.847,0.997,0.969,1
94,0.852,0.997,0.971,1
95,0.854,0.998,0.974,1
96,0.859,0.998,0.975,1
97,0.86,0.998,0.975,1
98,0.866,0.998,0.976,1
99,0.869,0.998,0.976,1
100,0.874,0.998,0.976,1
101,0.877,0.998,0.976,1
102,0.881,0.998,0.977,1
103,0.884,0.998,0.98,1
104,0.887,0.998,0.982,1
105,0.89,0.998,0.982,1
106,0.892,0.998,0.985,1
107,0.896,0.998,0.987,1
108,0.898,0.999,0.987,1
109,0.905,0.999,0.987,1
110,0.908,1,0.987,1
111,0.909,1,0.987,1
112,0.913,1,0.988,1
113,0.915,1,0.988,1
114,0.916,1,0.989,1
115,0.918,1,0.99,1
116,0.92,1,0.99,1
117,0.92,1,0.991,1
118,0.922,1,0.991,1
119,0.925,1,0.991,1
120,0.928,1,0.991,1
121,0.928,1,0.991,1
122,0.929,1,0.991,1
123,0.93,1,0.992,1
124,0.932,1,0.992,1
125,0.932,1,0.992,1
126,0.932,1,0.992,1
127,0.934,1,0.993,1
128,0.935,1,0.993,1
129,0.937,1,0.993,1
130,0.937,1,0.993,1
131,0.938,1,0.993,1
132,0.94,1,0.993,1
133,0.941,1,0.993,1
134,0.944,1,0.993,1
135,0.946,1,0.993,1
136,0.947,1,0.993,1
137,0.949,1,0.993,1
138,0.951,1,0.993,1
139,0.952,1,0.993,1
140,0.952,1,0.993,1
141,0.953,1,0.993,1
142,0.953,1,0.993,1
143,0.954,1,0.993,1
144,0.954,1,0.993,1
145,0.956,1,0.995,1
146,0.956,1,0.995,1
147,0.956,1,0.995,1
148,0.956,1,0.995,1
149,0.957,1,0.995,1
150,0.959,1,0.996,1
