1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0.001,0,0,0
37,0.001,0,0,0
38,0.001,0,0,0
39,0.003,0,0,0
40,0.004,0,0,0
41,0.009,0.001,0,0
42,0.011,0.001,0,0
43,0.017,0.001,0,0
44,0.026,0.003,0,0
45,0.04,0.003,0,0
46,0.052,0.004,0.001,0
47,0.065,0.009,0.002,0
48,0.075,0.01,0.003,0.001
49,0.088,0.013,0.005,0.003
50,0.104,0.019,0.007,0.012
51,0.123,0.024,0.013,0.019
52,0.136,0.037,0.018,0.039
53,0.149,0.047,0.024,0.054
54,0.16,0.061,0.032,0.07
55,0.174,0.074,0.043,0.087
56,0.191,0.087,0.055,0.115
57,0.217,0.102,0.079,0.14
58,0.236,0.118,0.102,0.187
59,0.269,0.135,0.124,0.225
60,0.285,0.146,0.145,0.275
61,0.308,0.168,0.179,0.344
62,0.329,0.194,0.207,0.403
63,0.342,0.213,0.24,0.459
64,0.355,0.238,0.273,0.504
65,0.375,0.259,0.302,0.543
66,0.395,0.288,0.35,0.591
67,0.421,0.327,0.389,0.623
68,0.443,0.359,0.422,0.668
69,0.467,0.399,0.456,0.698
70,0.483,0.441,0.479,0.731
71,0.512,0.476,0.511,0.771
72,0.53,0.508,0.548,0.803
73,0.546,0.534,0.568,0.818
74,0.56,0.564,0.592,0.844
75,0.571,0.587,0.616,0.864
76,0.588,0.616,0.641,0.879
77,0.601,0.643,0.673,0.895
78,0.611,0.667,0.694,0.912
79,0.627,0.689,0.726,0.922
80,0.641,0.714,0.737,0.928
81,0.651,0.737,0.759,0.937
82,0.667,0.753,0.78,0.947
83,0.676,0.781,0.793,0.955
84,0.688,0.802,0.81,0.96
85,0.705,0.819,0.819,0.965
86,0.715,0.83,0.831,0.969
87,0.727,0.847,0.843,0.972
88,0.734,0.857,0.855,0.976
89,0.741,0.87,0.865,0.979
90,0.749,0.879,0.873,0.982
91,0.762,0.89,0.885,0.982
92,0.766,0.902,0.893,0.985
93,0.772,0.91,0.9,0.987
94,0.779,0.919,0.905,0.988
95,0.788,0.925,0.913,0.99
96,0.795,0.932,0.916,0.991
97,0.803,0.938,0.922,0.991
98,0.806,0.943,0.925,0.993
99,0.81,0.948,0.931,0.994
100,0.814,0.953,0.936,0.996
101,0.816,0.957,0.937,0.996
102,0.822,0.959,0.94,0.996
103,0.829,0.962,0.948,0.996
104,0.833,0.964,0.953,0.996
105,0.846,0.968,0.954,0.996
106,0.85,0.972,0.957,0.996
107,0.853,0.976,0.96,0.998
108,0.856,0.979,0.963,0.998
109,0.862,0.98,0.964,0.998
110,0.868,0.981,0.965,0.998
111,0.877,0.982,0.968,0.999
112,0.88,0.984,0.969,0.999
113,0.881,0.984,0.971,0.999
114,0.887,0.985,0.973,0.999
115,0.892,0.986,0.974,0.999
116,0.894,0.988,0.974,1
117,0.897,0.988,0.975,1
118,0.9,0.989,0.977,1
119,0.902,0.989,0.977,1
120,0.904,0.991,0.978,1
121,0.906,0.992,0.978,1
122,0.907,0.992,0.979,1
123,0.909,0.994,0.979,1
124,0.91,0.994,0.979,1
125,0.912,0.994,0.979,1
126,0.915,0.995,0.98,1
127,0.917,0.995,0.98,1
128,0.92,0.996,0.982,1
129,0.924,0.996,0.983,1
130,0.929,0.996,0.984,1
131,0.931,0.996,0.985,1
132,0.932,0.996,0.985,1
133,0.932,0.996,0.985,1
134,0.934,0.996,0.985,1
135,0.934,0.996,0.985,1
136,0.935,0.997,0.985,1
137,0.936,0.998,0.985,1
138,0.937,0.998,0.985,1
139,0.939,0.998,0.985,1
140,0.94,0.998,0.985,1
141,0.941,0.998,0.985,1
142,0.942,0.998,0.986,1
143,0.945,0.999,0.986,1
144,0.946,0.999,0.986,1
145,0.949,0.999,0.986,1
146,0.95,0.999,0.987,1
147,0.952,0.999,0.988,1
148,0.954,0.999,0.989,1
149,0.957,0.999,0.99,1
150,0.958,0.999,0.99,1
