sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0.001,0,0,0
31,0.002,0,0.001,0
32,0.004,0,0.004,0
33,0.005,0,0.005,0
34,0.006,0,0.008,0.001
35,0.013,0.002,0.009,0.001
36,0.021,0.002,0.012,0.001
37,0.027,0.003,0.019,0.004
38,0.035,0.004,0.027,0.007
39,0.043,0.007,0.038,0.013
40,0.055,0.01,0.058,0.019
41,0.07,0.015,0.081,0.023
42,0.079,0.023,0.104,0.029
43,0.097,0.03,0.133,0.04
44,0.121,0.04,0.166,0.061
45,0.141,0.046,0.204,0.081
46,0.167,0.054,0.236,0.123
47,0.187,0.067,0.27,0.15
48,0.214,0.084,0.318,0.194
49,0.237,0.105,0.363,0.242
50,0.265,0.125,0.387,0.288
51,0.289,0.154,0.413,0.341
52,0.308,0.175,0.442,0.395
53,0.327,0.204,0.477,0.45
54,0.348,0.231,0.524,0.491
55,0.371,0.267,0.557,0.536
56,0.394,0.313,0.59,0.571
57,0.412,0.346,0.618,0.612
58,0.434,0.387,0.637,0.656
59,0.455,0.435,0.66,0.68
60,0.486,0.47,0.676,0.717
61,0.512,0.499,0.697,0.747
62,0.524,0.535,0.722,0.777
63,0.541,0.567,0.742,0.81
64,0.559,0.596,0.763,0.832
65,0.57,0.626,0.778,0.86
66,0.592,0.646,0.793,0.875
67,0.607,0.665,0.805,0.89
68,0.623,0.691,0.818,0.905
69,0.643,0.712,0.831,0.923
70,0.657,0.739,0.839,0.933
71,0.676,0.759,0.851,0.936
72,0.693,0.789,0.859,0.942
73,0.703,0.801,0.866,0.946
74,0.718,0.819,0.873,0.954
75,0.722,0.843,0.88,0.96
76,0.73,0.855,0.886,0.966
77,0.737,0.868,0.897,0.97
78,0.75,0.878,0.904,0.973
79,0.757,0.889,0.907,0.976
80,0.767,0.9,0.913,0.979
81,0.779,0.913,0.918,0.982
82,0.791,0.922,0.923,0.984
83,0.797,0.926,0.924,0.986
84,0.802,0.931,0.929,0.989
85,0.811,0.94,0.933,0.993
86,0.816,0.942,0.936,0.994
87,0.825,0.947,0.937,0.995
88,0.83,0.95,0.94,0.995
89,0.837,0.952,0.942,0.996
90,0.841,0.955,0.943,0.997
91,0.842,0.962,0.946,0.997
92,0.849,0.964,0.949,0.997
93,0.854,0.967,0.952,0.997
94,0.858,0.969,0.957,0.997
95,0.863,0.974,0.96,0.997
96,0.863,0.975,0.962,0.997
97,0.867,0.977,0.963,0.998
98,0.868,0.98,0.966,0.999
99,0.872,0.981,0.966,0.999
100,0.878,0.982,0.968,0.999
101,0.88,0.985,0.969,0.999
102,0.886,0.988,0.971,0.999
103,0.888,0.99,0.972,0.999
104,0.89,0.991,0.973,0.999
105,0.892,0.991,0.974,0.999
106,0.897,0.993,0.977,0.999
107,0.898,0.994,0.979,0.999
108,0.901,0.995,0.979,1
109,0.906,0.995,0.981,1
110,0.906,0.996,0.981,1
111,0.909,0.996,0.982,1
112,0.911,0.996,0.984,1
113,0.914,0.996,0.984,1
114,0.916,0.997,0.984,1
115,0.919,0.997,0.984,1
116,0.922,0.997,0.985,1
117,0.923,0.997,0.987,1
118,0.926,0.997,0.987,1
119,0.927,0.997,0.988,1
120,0.929,0.998,0.988,1
121,0.93,0.998,0.988,1
122,0.93,0.999,0.989,1
123,0.932,0.999,0.99,1
124,0.933,0.999,0.99,1
125,0.934,0.999,0.99,1
126,0.936,0.999,0.99,1
127,0.937,0.999,0.99,1
128,0.938,0.999,0.99,1
129,0.941,0.999,0.99,1
130,0.942,0.999,0.99,1
131,0.943,0.999,0.991,1
132,0.946,0.999,0.991,1
133,0.946,0.999,0.991,1
134,0.946,0.999,0.991,1
135,0.947,0.999,0.991,1
136,0.948,0.999,0.991,1
137,0.948,0.999,0.991,1
138,0.949,0.999,0.992,1
139,0.949,1,0.992,1
140,0.95,1,0.992,1
141,0.951,1,0.992,1
142,0.952,1,0.992,1
143,0.953,1,0.993,1
144,0.953,1,0.993,1
145,0.954,1,0.993,1
146,0.955,1,0.994,1
147,0.957,1,0.994,1
148,0.957,1,0.994,1
149,0.958,1,0.994,1
150,0.958,1,0.994,1
