sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0.001,0.001,0
34,0.003,0.003,0
35,0.004,0.004,0
36,0.004,0.004,0
37,0.004,0.004,0
38,0.006,0.006,0
39,0.006,0.006,0
40,0.007,0.007,0
41,0.009,0.011,0.001
42,0.013,0.016,0.003
43,0.019,0.023,0.003
44,0.021,0.029,0.005
45,0.029,0.04,0.009
46,0.036,0.05,0.013
47,0.047,0.065,0.022
48,0.052,0.083,0.034
49,0.06,0.097,0.045
50,0.072,0.117,0.06
51,0.079,0.135,0.077
52,0.089,0.163,0.098
53,0.1,0.189,0.122
54,0.112,0.209,0.144
55,0.124,0.241,0.173
56,0.138,0.271,0.214
57,0.16,0.31,0.252
58,0.164,0.337,0.286
59,0.182,0.379,0.326
60,0.19,0.405,0.36
61,0.208,0.444,0.403
62,0.226,0.486,0.444
63,0.241,0.521,0.487
64,0.253,0.542,0.515
65,0.264,0.571,0.544
66,0.278,0.605,0.581
67,0.299,0.633,0.613
68,0.315,0.658,0.642
69,0.326,0.691,0.675
70,0.34,0.717,0.704
71,0.358,0.743,0.732
72,0.367,0.755,0.748
73,0.381,0.776,0.769
74,0.399,0.796,0.792
75,0.415,0.817,0.813
76,0.429,0.83,0.827
77,0.44,0.85,0.847
78,0.456,0.866,0.862
79,0.469,0.877,0.874
80,0.478,0.881,0.878
81,0.488,0.887,0.885
82,0.497,0.898,0.896
83,0.513,0.907,0.906
84,0.517,0.909,0.908
85,0.533,0.917,0.916
86,0.543,0.924,0.923
87,0.553,0.936,0.936
88,0.56,0.941,0.941
89,0.571,0.95,0.95
90,0.577,0.954,0.954
91,0.585,0.956,0.956
92,0.592,0.958,0.958
93,0.598,0.961,0.961
94,0.608,0.966,0.966
95,0.618,0.968,0.968
96,0.633,0.971,0.971
97,0.636,0.977,0.977
98,0.647,0.979,0.979
99,0.653,0.981,0.981
100,0.659,0.981,0.981
101,0.665,0.982,0.982
102,0.676,0.986,0.986
103,0.684,0.988,0.988
104,0.696,0.99,0.99
105,0.7,0.992,0.992
106,0.708,0.993,0.993
107,0.716,0.994,0.994
108,0.723,0.996,0.996
109,0.729,0.996,0.996
110,0.731,0.997,0.997
111,0.736,0.997,0.997
112,0.74,0.997,0.997
113,0.741,0.997,0.997
114,0.745,0.998,0.998
115,0.751,0.998,0.998
116,0.755,0.998,0.998
117,0.756,0.998,0.998
118,0.761,0.998,0.998
119,0.765,0.998,0.998
120,0.77,0.999,0.999
121,0.774,0.999,0.999
122,0.777,0.999,0.999
123,0.781,0.999,0.999
124,0.787,0.999,0.999
125,0.791,0.999,0.999
126,0.798,0.999,0.999
127,0.803,0.999,0.999
128,0.808,0.999,0.999
129,0.811,0.999,0.999
130,0.815,0.999,0.999
131,0.815,0.999,0.999
132,0.816,0.999,0.999
133,0.818,0.999,0.999
134,0.82,0.999,0.999
135,0.824,0.999,0.999
136,0.829,0.999,0.999
137,0.829,0.999,0.999
138,0.833,1,1
139,0.835,1,1
140,0.84,1,1
141,0.842,1,1
142,0.844,1,1
143,0.846,1,1
144,0.85,1,1
145,0.853,1,1
146,0.856,1,1
147,0.858,1,1
148,0.861,1,1
149,0.863,1,1
150,0.863,1,1
