sigma,typeI,typeI_o,typeI_oc
1,0.037,0.001,0.001
2,0.037,0.001,0.001
3,0.037,0.001,0.001
4,0.037,0.001,0.001
5,0.037,0.001,0.001
6,0.037,0.001,0.001
7,0.037,0.001,0.001
8,0.037,0.001,0.001
9,0.037,0.001,0.001
10,0.037,0.001,0.001
11,0.037,0.001,0.001
12,0.037,0.001,0.001
13,0.037,0.001,0.001
14,0.037,0.001,0.001
15,0.037,0.001,0.001
16,0.037,0.001,0.001
17,0.037,0.001,0.001
18,0.036,0.001,0.001
19,0.034,0.001,0.001
20,0.034,0.001,0.001
21,0.034,0.001,0.001
22,0.033,0.001,0.001
23,0.03,0.001,0.001
24,0.029,0.001,0.001
25,0.029,0,0
26,0.028,0,0
27,0.027,0,0
28,0.025,0,0
29,0.025,0,0
30,0.025,0,0
31,0.025,0,0
32,0.024,0,0
33,0.024,0,0
34,0.024,0,0
35,0.024,0,0
36,0.022,0,0
37,0.021,0,0
38,0.02,0,0
39,0.02,0,0
40,0.02,0,0
41,0.019,0,0
42,0.019,0,0
43,0.019,0,0
44,0.018,0,0
45,0.018,0,0
46,0.018,0,0
47,0.018,0,0
48,0.018,0,0
49,0.018,0,0
50,0.017,0,0
51,0.017,0,0
52,0.017,0,0
53,0.016,0,0
54,0.016,0,0
55,0.016,0,0
56,0.016,0,0
57,0.015,0,0
58,0.015,0,0
59,0.015,0,0
60,0.015,0,0
61,0.015,0,0
62,0.015,0,0
63,0.015,0,0
64,0.014,0,0
65,0.014,0,0
66,0.014,0,0
67,0.014,0,0
68,0.014,0,0
69,0.013,0,0
70,0.013,0,0
71,0.013,0,0
72,0.013,0,0
73,0.013,0,0
74,0.013,0,0
75,0.013,0,0
76,0.013,0,0
77,0.013,0,0
78,0.013,0,0
79,0.013,0,0
80,0.012,0,0
81,0.012,0,0
82,0.012,0,0
83,0.012,0,0
84,0.012,0,0
85,0.012,0,0
86,0.012,0,0
87,0.012,0,0
88,0.012,0,0
89,0.012,0,0
90,0.012,0,0
91,0.012,0,0
92,0.012,0,0
93,0.012,0,0
94,0.012,0,0
95,0.012,0,0
96,0.012,0,0
97,0.012,0,0
98,0.012,0,0
99,0.012,0,0
100,0.012,0,0
101,0.012,0,0
102,0.012,0,0
103,0.012,0,0
104,0.012,0,0
105,0.012,0,0
106,0.012,0,0
107,0.012,0,0
108,0.012,0,0
109,0.012,0,0
110,0.012,0,0
111,0.012,0,0
112,0.012,0,0
113,0.012,0,0
114,0.012,0,0
115,0.012,0,0
116,0.012,0,0
117,0.012,0,0
118,0.012,0,0
119,0.012,0,0
120,0.012,0,0
121,0.012,0,0
122,0.012,0,0
123,0.012,0,0
124,0.012,0,0
125,0.012,0,0
126,0.012,0,0
127,0.012,0,0
128,0.012,0,0
129,0.012,0,0
130,0.012,0,0
131,0.012,0,0
132,0.012,0,0
133,0.012,0,0
134,0.012,0,0
135,0.012,0,0
136,0.012,0,0
137,0.012,0,0
138,0.012,0,0
139,0.012,0,0
140,0.012,0,0
141,0.012,0,0
142,0.012,0,0
143,0.012,0,0
144,0.012,0,0
145,0.012,0,0
146,0.012,0,0
147,0.012,0,0
148,0.012,0,0
149,0.012,0,0
150,0.012,0,0
