sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0.001,0.001,0.001
20,0.001,0.001,0.001
21,0.001,0.001,0.001
22,0.002,0.002,0.002
23,0.003,0.003,0.003
24,0.011,0.011,0.011
25,0.016,0.016,0.016
26,0.024,0.024,0.024
27,0.044,0.044,0.044
28,0.061,0.061,0.061
29,0.068,0.068,0.068
30,0.078,0.078,0.078
31,0.092,0.093,0.093
32,0.113,0.117,0.117
33,0.138,0.142,0.142
34,0.162,0.166,0.166
35,0.179,0.184,0.184
36,0.198,0.206,0.206
37,0.218,0.227,0.227
38,0.247,0.262,0.262
39,0.264,0.286,0.286
40,0.289,0.321,0.321
41,0.309,0.351,0.351
42,0.326,0.386,0.386
43,0.342,0.415,0.415
44,0.358,0.447,0.447
45,0.373,0.475,0.475
46,0.393,0.504,0.504
47,0.415,0.537,0.537
48,0.437,0.577,0.577
49,0.458,0.614,0.614
50,0.476,0.637,0.637
51,0.491,0.668,0.668
52,0.506,0.698,0.698
53,0.523,0.72,0.72
54,0.537,0.744,0.744
55,0.551,0.764,0.764
56,0.563,0.794,0.794
57,0.571,0.815,0.815
58,0.582,0.84,0.84
59,0.595,0.849,0.849
60,0.607,0.871,0.871
61,0.616,0.882,0.882
62,0.628,0.899,0.899
63,0.638,0.914,0.914
64,0.648,0.921,0.921
65,0.664,0.933,0.933
66,0.676,0.945,0.945
67,0.685,0.956,0.956
68,0.689,0.96,0.96
69,0.699,0.964,0.964
70,0.707,0.968,0.968
71,0.717,0.972,0.972
72,0.73,0.977,0.977
73,0.739,0.978,0.978
74,0.747,0.983,0.983
75,0.755,0.986,0.986
76,0.761,0.987,0.987
77,0.761,0.989,0.989
78,0.767,0.993,0.993
79,0.769,0.993,0.993
80,0.775,0.994,0.994
81,0.784,0.995,0.995
82,0.786,0.995,0.995
83,0.79,0.996,0.996
84,0.791,0.996,0.996
85,0.797,0.997,0.997
86,0.797,0.997,0.997
87,0.805,0.997,0.997
88,0.809,0.998,0.998
89,0.817,0.998,0.998
90,0.823,0.999,0.999
91,0.828,0.999,0.999
92,0.832,0.999,0.999
93,0.839,0.999,0.999
94,0.841,0.999,0.999
95,0.846,0.999,0.999
96,0.851,0.999,0.999
97,0.857,0.999,0.999
98,0.861,0.999,0.999
99,0.863,0.999,0.999
100,0.865,0.999,0.999
101,0.868,0.999,0.999
102,0.871,0.999,0.999
103,0.875,1,1
104,0.88,1,1
105,0.882,1,1
106,0.884,1,1
107,0.887,1,1
108,0.89,1,1
109,0.891,1,1
110,0.895,1,1
111,0.897,1,1
112,0.898,1,1
113,0.899,1,1
114,0.903,1,1
115,0.904,1,1
116,0.906,1,1
117,0.907,1,1
118,0.908,1,1
119,0.91,1,1
120,0.91,1,1
121,0.91,1,1
122,0.91,1,1
123,0.912,1,1
124,0.913,1,1
125,0.914,1,1
126,0.916,1,1
127,0.916,1,1
128,0.919,1,1
129,0.92,1,1
130,0.921,1,1
131,0.922,1,1
132,0.924,1,1
133,0.926,1,1
134,0.927,1,1
135,0.927,1,1
136,0.927,1,1
137,0.929,1,1
138,0.93,1,1
139,0.932,1,1
140,0.932,1,1
141,0.932,1,1
142,0.932,1,1
143,0.932,1,1
144,0.932,1,1
145,0.933,1,1
146,0.934,1,1
147,0.934,1,1
148,0.935,1,1
149,0.935,1,1
150,0.936,1,1
