sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0.001,0.001,0
29,0.001,0.001,0
30,0.001,0.001,0
31,0.001,0.001,0
32,0.005,0.006,0.001
33,0.005,0.006,0.002
34,0.009,0.01,0.003
35,0.011,0.014,0.004
36,0.012,0.024,0.01
37,0.014,0.041,0.023
38,0.023,0.059,0.034
39,0.028,0.075,0.048
40,0.043,0.11,0.077
41,0.057,0.16,0.125
42,0.07,0.212,0.177
43,0.084,0.276,0.241
44,0.097,0.347,0.313
45,0.113,0.42,0.389
46,0.139,0.507,0.476
47,0.16,0.582,0.56
48,0.183,0.652,0.638
49,0.208,0.725,0.712
50,0.227,0.78,0.77
51,0.242,0.835,0.831
52,0.261,0.882,0.878
53,0.281,0.913,0.91
54,0.312,0.936,0.936
55,0.333,0.952,0.952
56,0.362,0.966,0.966
57,0.389,0.98,0.98
58,0.408,0.988,0.988
59,0.442,0.993,0.993
60,0.466,0.995,0.995
61,0.486,0.996,0.996
62,0.499,0.997,0.997
63,0.515,0.997,0.997
64,0.535,0.999,0.999
65,0.554,0.999,0.999
66,0.57,1,1
67,0.589,1,1
68,0.607,1,1
69,0.628,1,1
70,0.643,1,1
71,0.653,1,1
72,0.664,1,1
73,0.672,1,1
74,0.682,1,1
75,0.689,1,1
76,0.704,1,1
77,0.712,1,1
78,0.726,1,1
79,0.727,1,1
80,0.742,1,1
81,0.751,1,1
82,0.759,1,1
83,0.77,1,1
84,0.783,1,1
85,0.792,1,1
86,0.804,1,1
87,0.807,1,1
88,0.818,1,1
89,0.824,1,1
90,0.829,1,1
91,0.833,1,1
92,0.839,1,1
93,0.84,1,1
94,0.849,1,1
95,0.853,1,1
96,0.855,1,1
97,0.86,1,1
98,0.867,1,1
99,0.868,1,1
100,0.872,1,1
101,0.873,1,1
102,0.876,1,1
103,0.878,1,1
104,0.881,1,1
105,0.885,1,1
106,0.889,1,1
107,0.895,1,1
108,0.899,1,1
109,0.9,1,1
110,0.901,1,1
111,0.903,1,1
112,0.909,1,1
113,0.913,1,1
114,0.918,1,1
115,0.919,1,1
116,0.923,1,1
117,0.925,1,1
118,0.928,1,1
119,0.931,1,1
120,0.932,1,1
121,0.934,1,1
122,0.934,1,1
123,0.936,1,1
124,0.94,1,1
125,0.942,1,1
126,0.942,1,1
127,0.942,1,1
128,0.942,1,1
129,0.942,1,1
130,0.943,1,1
131,0.945,1,1
132,0.947,1,1
133,0.947,1,1
134,0.951,1,1
135,0.951,1,1
136,0.951,1,1
137,0.953,1,1
138,0.953,1,1
139,0.953,1,1
140,0.953,1,1
141,0.955,1,1
142,0.955,1,1
143,0.957,1,1
144,0.957,1,1
145,0.957,1,1
146,0.957,1,1
147,0.957,1,1
148,0.958,1,1
149,0.959,1,1
150,0.96,1,1
