sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0.001,0,0,0
34,0.001,0,0,0
35,0.001,0,0,0
36,0.003,0,0,0
37,0.005,0,0.001,0
38,0.006,0,0.002,0
39,0.01,0.002,0.003,0.001
40,0.017,0.002,0.003,0.001
41,0.021,0.002,0.005,0.002
42,0.026,0.002,0.006,0.006
43,0.032,0.003,0.008,0.008
44,0.039,0.005,0.017,0.016
45,0.047,0.007,0.03,0.026
46,0.059,0.012,0.044,0.036
47,0.07,0.018,0.057,0.059
48,0.08,0.021,0.074,0.088
49,0.084,0.03,0.097,0.122
50,0.095,0.037,0.122,0.162
51,0.109,0.044,0.145,0.228
52,0.124,0.053,0.167,0.286
53,0.137,0.072,0.196,0.345
54,0.148,0.089,0.216,0.411
55,0.163,0.123,0.262,0.466
56,0.184,0.148,0.296,0.533
57,0.195,0.183,0.33,0.607
58,0.21,0.235,0.367,0.672
59,0.23,0.28,0.402,0.727
60,0.243,0.321,0.427,0.765
61,0.26,0.364,0.47,0.814
62,0.276,0.411,0.494,0.853
63,0.295,0.458,0.531,0.879
64,0.305,0.498,0.558,0.903
65,0.315,0.537,0.592,0.928
66,0.329,0.594,0.624,0.953
67,0.346,0.638,0.646,0.961
68,0.36,0.678,0.665,0.968
69,0.372,0.707,0.684,0.976
70,0.385,0.74,0.709,0.987
71,0.399,0.777,0.729,0.989
72,0.411,0.81,0.75,0.992
73,0.427,0.843,0.766,0.995
74,0.442,0.864,0.783,0.998
75,0.457,0.88,0.801,0.998
76,0.475,0.9,0.821,0.999
77,0.489,0.924,0.835,0.999
78,0.502,0.935,0.848,0.999
79,0.517,0.948,0.855,1
80,0.529,0.953,0.867,1
81,0.538,0.963,0.879,1
82,0.55,0.967,0.887,1
83,0.562,0.974,0.897,1
84,0.573,0.979,0.907,1
85,0.586,0.983,0.914,1
86,0.598,0.985,0.916,1
87,0.606,0.988,0.921,1
88,0.615,0.99,0.923,1
89,0.627,0.993,0.926,1
90,0.636,0.996,0.928,1
91,0.648,0.998,0.933,1
92,0.656,0.999,0.937,1
93,0.661,0.999,0.94,1
94,0.665,0.999,0.941,1
95,0.671,0.999,0.946,1
96,0.682,1,0.948,1
97,0.685,1,0.951,1
98,0.693,1,0.952,1
99,0.703,1,0.956,1
100,0.71,1,0.961,1
101,0.715,1,0.962,1
102,0.72,1,0.963,1
103,0.727,1,0.966,1
104,0.733,1,0.967,1
105,0.743,1,0.969,1
106,0.746,1,0.972,1
107,0.749,1,0.972,1
108,0.753,1,0.973,1
109,0.754,1,0.975,1
110,0.759,1,0.977,1
111,0.761,1,0.979,1
112,0.765,1,0.981,1
113,0.77,1,0.982,1
114,0.773,1,0.983,1
115,0.775,1,0.985,1
116,0.78,1,0.986,1
117,0.784,1,0.986,1
118,0.789,1,0.986,1
119,0.791,1,0.986,1
120,0.792,1,0.988,1
121,0.797,1,0.989,1
122,0.799,1,0.99,1
123,0.804,1,0.99,1
124,0.806,1,0.99,1
125,0.808,1,0.991,1
126,0.812,1,0.991,1
127,0.812,1,0.992,1
128,0.82,1,0.992,1
129,0.823,1,0.992,1
130,0.826,1,0.992,1
131,0.83,1,0.992,1
132,0.834,1,0.992,1
133,0.838,1,0.992,1
134,0.841,1,0.992,1
135,0.845,1,0.993,1
136,0.846,1,0.993,1
137,0.848,1,0.993,1
138,0.849,1,0.993,1
139,0.851,1,0.993,1
140,0.858,1,0.994,1
141,0.858,1,0.994,1
142,0.86,1,0.994,1
143,0.861,1,0.994,1
144,0.864,1,0.994,1
145,0.865,1,0.994,1
146,0.87,1,0.994,1
147,0.871,1,0.994,1
148,0.872,1,0.994,1
149,0.873,1,0.994,1
150,0.875,1,0.994,1
