sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0.001,0
18,0,0,0.005,0
19,0,0,0.012,0
20,0,0,0.03,0
21,0.001,0,0.054,0
22,0.001,0,0.087,0
23,0.002,0,0.118,0.001
24,0.008,0,0.144,0.001
25,0.013,0,0.187,0.001
26,0.02,0.001,0.234,0.007
27,0.036,0.001,0.288,0.011
28,0.05,0.001,0.337,0.016
29,0.068,0.003,0.387,0.03
30,0.086,0.007,0.437,0.039
31,0.099,0.009,0.485,0.052
32,0.119,0.014,0.524,0.069
33,0.13,0.021,0.562,0.089
34,0.141,0.033,0.596,0.099
35,0.166,0.039,0.632,0.114
36,0.188,0.051,0.663,0.127
37,0.206,0.061,0.689,0.14
38,0.226,0.071,0.709,0.156
39,0.25,0.08,0.746,0.184
40,0.276,0.092,0.761,0.222
41,0.299,0.102,0.783,0.26
42,0.322,0.118,0.796,0.299
43,0.342,0.13,0.809,0.335
44,0.363,0.158,0.821,0.371
45,0.381,0.176,0.838,0.414
46,0.398,0.202,0.85,0.461
47,0.418,0.225,0.863,0.527
48,0.432,0.257,0.871,0.579
49,0.449,0.292,0.877,0.636
50,0.472,0.319,0.885,0.686
51,0.482,0.348,0.895,0.734
52,0.502,0.394,0.901,0.777
53,0.518,0.446,0.91,0.821
54,0.532,0.478,0.912,0.852
55,0.55,0.529,0.916,0.883
56,0.562,0.568,0.924,0.911
57,0.574,0.611,0.929,0.925
58,0.584,0.652,0.936,0.939
59,0.598,0.694,0.945,0.954
60,0.609,0.733,0.949,0.965
61,0.624,0.767,0.955,0.979
62,0.634,0.796,0.956,0.982
63,0.643,0.828,0.957,0.987
64,0.654,0.855,0.961,0.99
65,0.664,0.875,0.962,0.994
66,0.674,0.885,0.966,0.996
67,0.68,0.907,0.969,0.997
68,0.686,0.929,0.97,0.997
69,0.697,0.937,0.971,0.998
70,0.704,0.948,0.971,0.998
71,0.715,0.959,0.972,0.998
72,0.723,0.965,0.972,0.999
73,0.73,0.974,0.973,0.999
74,0.739,0.98,0.974,0.999
75,0.753,0.985,0.977,0.999
76,0.758,0.989,0.978,0.999
77,0.765,0.992,0.98,0.999
78,0.766,0.994,0.98,1
79,0.77,0.995,0.981,1
80,0.774,0.996,0.982,1
81,0.78,0.997,0.982,1
82,0.784,0.998,0.982,1
83,0.795,0.998,0.983,1
84,0.796,0.998,0.983,1
85,0.801,0.998,0.983,1
86,0.805,0.998,0.985,1
87,0.811,0.998,0.985,1
88,0.813,0.998,0.986,1
89,0.817,0.998,0.988,1
90,0.818,0.998,0.989,1
91,0.821,0.998,0.989,1
92,0.826,0.999,0.989,1
93,0.833,0.999,0.989,1
94,0.836,0.999,0.991,1
95,0.837,0.999,0.991,1
96,0.842,1,0.991,1
97,0.846,1,0.991,1
98,0.849,1,0.992,1
99,0.85,1,0.992,1
100,0.856,1,0.992,1
101,0.859,1,0.992,1
102,0.86,1,0.992,1
103,0.862,1,0.993,1
104,0.863,1,0.994,1
105,0.863,1,0.994,1
106,0.866,1,0.994,1
107,0.871,1,0.994,1
108,0.872,1,0.994,1
109,0.872,1,0.994,1
110,0.874,1,0.994,1
111,0.878,1,0.994,1
112,0.878,1,0.996,1
113,0.879,1,0.996,1
114,0.884,1,0.996,1
115,0.886,1,0.997,1
116,0.891,1,0.997,1
117,0.892,1,0.997,1
118,0.894,1,0.997,1
119,0.898,1,0.997,1
120,0.899,1,0.997,1
121,0.899,1,0.997,1
122,0.899,1,0.997,1
123,0.899,1,0.998,1
124,0.9,1,0.998,1
125,0.903,1,0.998,1
126,0.904,1,0.998,1
127,0.904,1,0.998,1
128,0.904,1,0.998,1
129,0.904,1,0.998,1
130,0.905,1,0.998,1
131,0.907,1,0.998,1
132,0.91,1,0.998,1
133,0.912,1,0.998,1
134,0.912,1,0.998,1
135,0.914,1,0.998,1
136,0.915,1,0.998,1
137,0.915,1,0.999,1
138,0.915,1,0.999,1
139,0.916,1,0.999,1
140,0.916,1,0.999,1
141,0.918,1,0.999,1
142,0.918,1,0.999,1
143,0.919,1,0.999,1
144,0.92,1,0.999,1
145,0.92,1,0.999,1
146,0.921,1,0.999,1
147,0.921,1,0.999,1
148,0.925,1,0.999,1
149,0.926,1,0.999,1
150,0.928,1,0.999,1
