sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0.001,0.001,0.001
22,0.001,0.001,0.001
23,0.004,0.004,0.004
24,0.007,0.007,0.007
25,0.02,0.02,0.02
26,0.03,0.03,0.03
27,0.044,0.044,0.044
28,0.052,0.052,0.052
29,0.062,0.062,0.062
30,0.075,0.075,0.075
31,0.093,0.094,0.094
32,0.109,0.11,0.11
33,0.125,0.126,0.126
34,0.143,0.145,0.145
35,0.158,0.16,0.16
36,0.183,0.188,0.188
37,0.201,0.21,0.21
38,0.226,0.238,0.238
39,0.242,0.257,0.257
40,0.266,0.291,0.291
41,0.295,0.327,0.327
42,0.311,0.349,0.349
43,0.332,0.382,0.382
44,0.352,0.41,0.41
45,0.375,0.449,0.449
46,0.388,0.476,0.476
47,0.405,0.512,0.512
48,0.424,0.547,0.547
49,0.444,0.578,0.578
50,0.461,0.606,0.606
51,0.474,0.637,0.637
52,0.49,0.661,0.661
53,0.503,0.691,0.691
54,0.519,0.712,0.712
55,0.545,0.741,0.741
56,0.558,0.764,0.764
57,0.576,0.79,0.79
58,0.583,0.805,0.805
59,0.592,0.824,0.824
60,0.602,0.843,0.843
61,0.61,0.862,0.862
62,0.62,0.875,0.875
63,0.625,0.883,0.883
64,0.63,0.894,0.894
65,0.644,0.903,0.903
66,0.656,0.917,0.917
67,0.664,0.925,0.925
68,0.669,0.933,0.933
69,0.678,0.94,0.94
70,0.693,0.95,0.95
71,0.701,0.958,0.958
72,0.706,0.965,0.965
73,0.716,0.968,0.968
74,0.724,0.972,0.972
75,0.734,0.973,0.973
76,0.74,0.977,0.977
77,0.746,0.981,0.981
78,0.753,0.983,0.983
79,0.762,0.985,0.985
80,0.764,0.986,0.986
81,0.772,0.986,0.986
82,0.776,0.987,0.987
83,0.783,0.989,0.989
84,0.786,0.991,0.991
85,0.79,0.994,0.994
86,0.794,0.994,0.994
87,0.798,0.994,0.994
88,0.801,0.995,0.995
89,0.805,0.995,0.995
90,0.811,0.997,0.997
91,0.814,0.997,0.997
92,0.817,0.998,0.998
93,0.818,0.999,0.999
94,0.824,0.999,0.999
95,0.826,0.999,0.999
96,0.828,0.999,0.999
97,0.829,0.999,0.999
98,0.829,0.999,0.999
99,0.832,0.999,0.999
100,0.837,0.999,0.999
101,0.843,0.999,0.999
102,0.846,0.999,0.999
103,0.848,0.999,0.999
104,0.853,0.999,0.999
105,0.856,0.999,0.999
106,0.859,0.999,0.999
107,0.861,0.999,0.999
108,0.864,0.999,0.999
109,0.866,1,1
110,0.866,1,1
111,0.869,1,1
112,0.873,1,1
113,0.876,1,1
114,0.878,1,1
115,0.88,1,1
116,0.882,1,1
117,0.883,1,1
118,0.884,1,1
119,0.887,1,1
120,0.888,1,1
121,0.889,1,1
122,0.891,1,1
123,0.891,1,1
124,0.891,1,1
125,0.892,1,1
126,0.893,1,1
127,0.894,1,1
128,0.895,1,1
129,0.895,1,1
130,0.896,1,1
131,0.896,1,1
132,0.897,1,1
133,0.897,1,1
134,0.897,1,1
135,0.899,1,1
136,0.9,1,1
137,0.901,1,1
138,0.902,1,1
139,0.903,1,1
140,0.904,1,1
141,0.906,1,1
142,0.907,1,1
143,0.91,1,1
144,0.91,1,1
145,0.911,1,1
146,0.911,1,1
147,0.911,1,1
148,0.911,1,1
149,0.912,1,1
150,0.914,1,1
