sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0.002,0.002,0.002
23,0.003,0.003,0.003
24,0.007,0.007,0.007
25,0.015,0.015,0.015
26,0.022,0.022,0.022
27,0.025,0.025,0.025
28,0.034,0.034,0.034
29,0.047,0.047,0.047
30,0.054,0.054,0.054
31,0.065,0.068,0.068
32,0.082,0.086,0.086
33,0.1,0.103,0.103
34,0.112,0.118,0.118
35,0.124,0.133,0.133
36,0.145,0.162,0.162
37,0.164,0.192,0.192
38,0.177,0.216,0.216
39,0.195,0.253,0.253
40,0.21,0.279,0.279
41,0.225,0.327,0.327
42,0.248,0.38,0.38
43,0.27,0.429,0.429
44,0.29,0.481,0.481
45,0.31,0.535,0.535
46,0.333,0.593,0.593
47,0.349,0.651,0.651
48,0.371,0.702,0.702
49,0.387,0.751,0.751
50,0.406,0.798,0.798
51,0.421,0.828,0.828
52,0.433,0.865,0.865
53,0.452,0.896,0.896
54,0.465,0.917,0.917
55,0.475,0.937,0.937
56,0.485,0.947,0.947
57,0.495,0.963,0.963
58,0.504,0.978,0.978
59,0.518,0.987,0.987
60,0.529,0.993,0.993
61,0.538,0.996,0.996
62,0.551,0.998,0.998
63,0.561,1,1
64,0.571,1,1
65,0.579,1,1
66,0.588,1,1
67,0.597,1,1
68,0.608,1,1
69,0.617,1,1
70,0.624,1,1
71,0.631,1,1
72,0.638,1,1
73,0.647,1,1
74,0.655,1,1
75,0.66,1,1
76,0.666,1,1
77,0.672,1,1
78,0.678,1,1
79,0.688,1,1
80,0.691,1,1
81,0.693,1,1
82,0.698,1,1
83,0.702,1,1
84,0.706,1,1
85,0.711,1,1
86,0.715,1,1
87,0.72,1,1
88,0.722,1,1
89,0.728,1,1
90,0.733,1,1
91,0.735,1,1
92,0.738,1,1
93,0.743,1,1
94,0.751,1,1
95,0.753,1,1
96,0.757,1,1
97,0.762,1,1
98,0.767,1,1
99,0.77,1,1
100,0.772,1,1
101,0.775,1,1
102,0.78,1,1
103,0.782,1,1
104,0.784,1,1
105,0.784,1,1
106,0.785,1,1
107,0.788,1,1
108,0.791,1,1
109,0.794,1,1
110,0.8,1,1
111,0.802,1,1
112,0.803,1,1
113,0.805,1,1
114,0.809,1,1
115,0.813,1,1
116,0.815,1,1
117,0.816,1,1
118,0.82,1,1
119,0.822,1,1
120,0.823,1,1
121,0.824,1,1
122,0.829,1,1
123,0.835,1,1
124,0.836,1,1
125,0.836,1,1
126,0.839,1,1
127,0.839,1,1
128,0.841,1,1
129,0.841,1,1
130,0.844,1,1
131,0.845,1,1
132,0.847,1,1
133,0.848,1,1
134,0.85,1,1
135,0.851,1,1
136,0.854,1,1
137,0.855,1,1
138,0.86,1,1
139,0.863,1,1
140,0.863,1,1
141,0.865,1,1
142,0.867,1,1
143,0.869,1,1
144,0.869,1,1
145,0.869,1,1
146,0.869,1,1
147,0.869,1,1
148,0.871,1,1
149,0.871,1,1
150,0.873,1,1
