sigma,typeI,typeI_o,typeI_oc
1,0.117,0,0
2,0.117,0,0
3,0.117,0,0
4,0.117,0,0
5,0.117,0,0
6,0.117,0,0
7,0.117,0,0
8,0.117,0,0
9,0.117,0,0
10,0.117,0,0
11,0.117,0,0
12,0.117,0,0
13,0.117,0,0
14,0.117,0,0
15,0.117,0,0
16,0.117,0,0
17,0.117,0,0
18,0.117,0,0
19,0.117,0,0
20,0.117,0,0
21,0.116,0,0
22,0.115,0,0
23,0.114,0,0
24,0.111,0,0
25,0.109,0,0
26,0.105,0,0
27,0.103,0,0
28,0.099,0,0
29,0.097,0,0
30,0.095,0,0
31,0.093,0,0
32,0.093,0,0
33,0.09,0,0
34,0.09,0,0
35,0.088,0,0
36,0.086,0,0
37,0.085,0,0
38,0.083,0,0
39,0.082,0,0
40,0.081,0,0
41,0.079,0,0
42,0.079,0,0
43,0.078,0,0
44,0.076,0,0
45,0.076,0,0
46,0.076,0,0
47,0.076,0,0
48,0.074,0,0
49,0.073,0,0
50,0.072,0,0
51,0.072,0,0
52,0.071,0,0
53,0.071,0,0
54,0.071,0,0
55,0.07,0,0
56,0.069,0,0
57,0.069,0,0
58,0.069,0,0
59,0.068,0,0
60,0.067,0,0
61,0.068,0,0
62,0.067,0,0
63,0.067,0,0
64,0.067,0,0
65,0.067,0,0
66,0.067,0,0
67,0.067,0,0
68,0.067,0,0
69,0.067,0,0
70,0.067,0,0
71,0.067,0,0
72,0.067,0,0
73,0.067,0,0
74,0.067,0,0
75,0.066,0,0
76,0.065,0,0
77,0.065,0,0
78,0.065,0,0
79,0.065,0,0
80,0.065,0,0
81,0.064,0,0
82,0.064,0,0
83,0.063,0,0
84,0.063,0,0
85,0.063,0,0
86,0.063,0,0
87,0.063,0,0
88,0.063,0,0
89,0.062,0,0
90,0.061,0,0
91,0.06,0,0
92,0.06,0,0
93,0.059,0,0
94,0.058,0,0
95,0.058,0,0
96,0.058,0,0
97,0.058,0,0
98,0.056,0,0
99,0.056,0,0
100,0.056,0,0
101,0.056,0,0
102,0.056,0,0
103,0.056,0,0
104,0.056,0,0
105,0.056,0,0
106,0.056,0,0
107,0.056,0,0
108,0.056,0,0
109,0.056,0,0
110,0.056,0,0
111,0.056,0,0
112,0.056,0,0
113,0.056,0,0
114,0.057,0,0
115,0.057,0,0
116,0.057,0,0
117,0.056,0,0
118,0.056,0,0
119,0.056,0,0
120,0.056,0,0
121,0.055,0,0
122,0.055,0,0
123,0.055,0,0
124,0.055,0,0
125,0.055,0,0
126,0.055,0,0
127,0.055,0,0
128,0.055,0,0
129,0.055,0,0
130,0.055,0,0
131,0.055,0,0
132,0.055,0,0
133,0.055,0,0
134,0.055,0,0
135,0.055,0,0
136,0.055,0,0
137,0.055,0,0
138,0.055,0,0
139,0.055,0,0
140,0.055,0,0
141,0.055,0,0
142,0.055,0,0
143,0.055,0,0
144,0.055,0,0
145,0.055,0,0
146,0.055,0,0
147,0.055,0,0
148,0.055,0,0
149,0.055,0,0
150,0.054,0,0
