sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0.001,0.001,0
29,0.001,0.007,0.005
30,0.001,0.022,0.018
31,0.004,0.107,0.091
32,0.006,0.339,0.324
33,0.008,0.712,0.709
34,0.012,0.967,0.967
35,0.016,0.998,0.998
36,0.022,1,1
37,0.027,1,1
38,0.041,1,1
39,0.057,1,1
40,0.065,1,1
41,0.079,1,1
42,0.096,1,1
43,0.115,1,1
44,0.131,1,1
45,0.146,1,1
46,0.164,1,1
47,0.189,1,1
48,0.209,1,1
49,0.241,1,1
50,0.264,1,1
51,0.289,1,1
52,0.312,1,1
53,0.332,1,1
54,0.355,1,1
55,0.376,1,1
56,0.392,1,1
57,0.412,1,1
58,0.438,1,1
59,0.454,1,1
60,0.478,1,1
61,0.498,1,1
62,0.514,1,1
63,0.528,1,1
64,0.544,1,1
65,0.554,1,1
66,0.576,1,1
67,0.596,1,1
68,0.613,1,1
69,0.621,1,1
70,0.639,1,1
71,0.654,1,1
72,0.665,1,1
73,0.678,1,1
74,0.689,1,1
75,0.694,1,1
76,0.706,1,1
77,0.721,1,1
78,0.726,1,1
79,0.733,1,1
80,0.74,1,1
81,0.751,1,1
82,0.76,1,1
83,0.778,1,1
84,0.788,1,1
85,0.796,1,1
86,0.808,1,1
87,0.819,1,1
88,0.828,1,1
89,0.831,1,1
90,0.837,1,1
91,0.844,1,1
92,0.848,1,1
93,0.854,1,1
94,0.857,1,1
95,0.861,1,1
96,0.867,1,1
97,0.87,1,1
98,0.873,1,1
99,0.877,1,1
100,0.882,1,1
101,0.885,1,1
102,0.89,1,1
103,0.892,1,1
104,0.894,1,1
105,0.897,1,1
106,0.902,1,1
107,0.906,1,1
108,0.91,1,1
109,0.911,1,1
110,0.913,1,1
111,0.917,1,1
112,0.92,1,1
113,0.921,1,1
114,0.922,1,1
115,0.922,1,1
116,0.925,1,1
117,0.925,1,1
118,0.926,1,1
119,0.928,1,1
120,0.932,1,1
121,0.933,1,1
122,0.937,1,1
123,0.938,1,1
124,0.94,1,1
125,0.942,1,1
126,0.945,1,1
127,0.946,1,1
128,0.948,1,1
129,0.95,1,1
130,0.95,1,1
131,0.953,1,1
132,0.955,1,1
133,0.956,1,1
134,0.956,1,1
135,0.956,1,1
136,0.956,1,1
137,0.957,1,1
138,0.959,1,1
139,0.96,1,1
140,0.96,1,1
141,0.962,1,1
142,0.964,1,1
143,0.964,1,1
144,0.966,1,1
145,0.966,1,1
146,0.966,1,1
147,0.966,1,1
148,0.966,1,1
149,0.966,1,1
150,0.966,1,1
