sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0.001,0,0,0
30,0.002,0,0,0
31,0.005,0,0,0
32,0.006,0,0,0
33,0.011,0,0,0
34,0.013,0,0,0
35,0.019,0,0,0
36,0.023,0,0,0
37,0.029,0,0,0
38,0.035,0,0,0
39,0.044,0,0,0
40,0.057,0,0,0
41,0.068,0,0,0
42,0.079,0.001,0,0.002
43,0.097,0.002,0,0.006
44,0.112,0.005,0.002,0.014
45,0.129,0.008,0.003,0.039
46,0.144,0.017,0.008,0.079
47,0.157,0.037,0.027,0.167
48,0.179,0.074,0.052,0.299
49,0.204,0.136,0.095,0.447
50,0.225,0.232,0.151,0.642
51,0.248,0.332,0.208,0.809
52,0.275,0.474,0.264,0.907
53,0.296,0.637,0.337,0.962
54,0.314,0.769,0.419,0.985
55,0.333,0.866,0.498,0.997
56,0.361,0.934,0.571,0.999
57,0.388,0.969,0.621,1
58,0.412,0.992,0.69,1
59,0.432,0.999,0.737,1
60,0.453,0.999,0.792,1
61,0.475,1,0.825,1
62,0.495,1,0.86,1
63,0.514,1,0.884,1
64,0.53,1,0.905,1
65,0.551,1,0.925,1
66,0.566,1,0.934,1
67,0.588,1,0.952,1
68,0.603,1,0.966,1
69,0.615,1,0.974,1
70,0.624,1,0.978,1
71,0.636,1,0.987,1
72,0.65,1,0.99,1
73,0.66,1,0.991,1
74,0.673,1,0.993,1
75,0.692,1,0.993,1
76,0.703,1,0.995,1
77,0.714,1,0.995,1
78,0.721,1,0.995,1
79,0.73,1,0.996,1
80,0.737,1,0.997,1
81,0.744,1,0.997,1
82,0.752,1,0.997,1
83,0.758,1,0.997,1
84,0.764,1,0.997,1
85,0.774,1,0.997,1
86,0.779,1,0.997,1
87,0.791,1,0.998,1
88,0.794,1,0.998,1
89,0.803,1,0.998,1
90,0.807,1,0.998,1
91,0.81,1,0.998,1
92,0.816,1,0.999,1
93,0.821,1,0.999,1
94,0.829,1,0.999,1
95,0.833,1,0.999,1
96,0.838,1,0.999,1
97,0.842,1,0.999,1
98,0.845,1,0.999,1
99,0.848,1,0.999,1
100,0.849,1,0.999,1
101,0.856,1,0.999,1
102,0.862,1,0.999,1
103,0.865,1,0.999,1
104,0.872,1,0.999,1
105,0.876,1,0.999,1
106,0.879,1,0.999,1
107,0.885,1,0.999,1
108,0.889,1,0.999,1
109,0.892,1,0.999,1
110,0.893,1,0.999,1
111,0.897,1,0.999,1
112,0.899,1,1,1
113,0.908,1,1,1
114,0.91,1,1,1
115,0.913,1,1,1
116,0.914,1,1,1
117,0.918,1,1,1
118,0.918,1,1,1
119,0.92,1,1,1
120,0.922,1,1,1
121,0.923,1,1,1
122,0.925,1,1,1
123,0.927,1,1,1
124,0.932,1,1,1
125,0.934,1,1,1
126,0.936,1,1,1
127,0.938,1,1,1
128,0.94,1,1,1
129,0.94,1,1,1
130,0.942,1,1,1
131,0.947,1,1,1
132,0.947,1,1,1
133,0.949,1,1,1
134,0.95,1,1,1
135,0.95,1,1,1
136,0.951,1,1,1
137,0.953,1,1,1
138,0.954,1,1,1
139,0.954,1,1,1
140,0.954,1,1,1
141,0.956,1,1,1
142,0.956,1,1,1
143,0.959,1,1,1
144,0.959,1,1,1
145,0.959,1,1,1
146,0.959,1,1,1
147,0.96,1,1,1
148,0.963,1,1,1
149,0.963,1,1,1
150,0.964,1,1,1
