1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0.001,0
18,0,0,0.004,0
19,0,0,0.005,0
20,0,0,0.015,0
21,0.001,0,0.027,0
22,0.003,0,0.046,0.001
23,0.004,0,0.068,0.004
24,0.006,0.001,0.106,0.004
25,0.013,0.001,0.151,0.006
26,0.019,0.004,0.193,0.013
27,0.024,0.004,0.239,0.019
28,0.032,0.005,0.278,0.023
29,0.049,0.007,0.318,0.029
30,0.066,0.012,0.369,0.042
31,0.082,0.017,0.398,0.057
32,0.105,0.02,0.442,0.071
33,0.131,0.025,0.482,0.089
34,0.149,0.03,0.52,0.109
35,0.171,0.036,0.551,0.141
36,0.192,0.045,0.591,0.165
37,0.216,0.061,0.618,0.193
38,0.242,0.071,0.648,0.215
39,0.263,0.087,0.67,0.243
40,0.282,0.106,0.697,0.278
41,0.301,0.125,0.718,0.308
42,0.321,0.149,0.734,0.344
43,0.346,0.166,0.754,0.372
44,0.363,0.188,0.764,0.41
45,0.382,0.209,0.78,0.446
46,0.399,0.239,0.799,0.495
47,0.419,0.261,0.814,0.539
48,0.432,0.288,0.833,0.59
49,0.447,0.315,0.85,0.635
50,0.466,0.348,0.858,0.673
51,0.485,0.372,0.87,0.705
52,0.506,0.402,0.88,0.745
53,0.519,0.439,0.891,0.787
54,0.532,0.481,0.897,0.821
55,0.544,0.519,0.9,0.847
56,0.557,0.552,0.906,0.874
57,0.567,0.587,0.91,0.895
58,0.583,0.618,0.919,0.916
59,0.6,0.654,0.922,0.928
60,0.605,0.683,0.928,0.944
61,0.615,0.717,0.933,0.951
62,0.626,0.75,0.936,0.957
63,0.637,0.777,0.936,0.967
64,0.647,0.804,0.941,0.977
65,0.657,0.824,0.944,0.98
66,0.664,0.845,0.946,0.983
67,0.674,0.862,0.948,0.989
68,0.681,0.878,0.95,0.992
69,0.691,0.891,0.952,0.992
70,0.699,0.903,0.953,0.995
71,0.705,0.917,0.953,0.998
72,0.715,0.926,0.956,0.998
73,0.719,0.938,0.958,0.998
74,0.723,0.948,0.962,0.998
75,0.73,0.954,0.963,0.998
76,0.733,0.964,0.968,0.999
77,0.743,0.97,0.969,0.999
78,0.747,0.972,0.971,1
79,0.754,0.975,0.971,1
80,0.758,0.977,0.974,1
81,0.762,0.979,0.974,1
82,0.765,0.98,0.975,1
83,0.771,0.983,0.975,1
84,0.778,0.987,0.976,1
85,0.784,0.989,0.978,1
86,0.787,0.99,0.979,1
87,0.793,0.99,0.98,1
88,0.796,0.991,0.98,1
89,0.804,0.994,0.982,1
90,0.806,0.995,0.982,1
91,0.815,0.995,0.982,1
92,0.818,0.995,0.983,1
93,0.822,0.996,0.984,1
94,0.828,0.997,0.984,1
95,0.834,0.997,0.985,1
96,0.836,0.997,0.985,1
97,0.843,0.998,0.985,1
98,0.846,0.998,0.985,1
99,0.849,0.999,0.986,1
100,0.854,0.999,0.986,1
101,0.858,0.999,0.987,1
102,0.862,1,0.987,1
103,0.865,1,0.987,1
104,0.869,1,0.987,1
105,0.872,1,0.987,1
106,0.876,1,0.987,1
107,0.88,1,0.988,1
108,0.881,1,0.989,1
109,0.884,1,0.989,1
110,0.887,1,0.989,1
111,0.889,1,0.99,1
112,0.889,1,0.99,1
113,0.891,1,0.991,1
114,0.892,1,0.991,1
115,0.893,1,0.992,1
116,0.895,1,0.992,1
117,0.897,1,0.993,1
118,0.9,1,0.993,1
119,0.904,1,0.994,1
120,0.906,1,0.994,1
121,0.91,1,0.995,1
122,0.912,1,0.995,1
123,0.912,1,0.995,1
124,0.913,1,0.996,1
125,0.914,1,0.996,1
126,0.915,1,0.996,1
127,0.915,1,0.996,1
128,0.916,1,0.996,1
129,0.919,1,0.996,1
130,0.92,1,0.996,1
131,0.92,1,0.996,1
132,0.92,1,0.996,1
133,0.92,1,0.996,1
134,0.922,1,0.996,1
135,0.922,1,0.996,1
136,0.925,1,0.996,1
137,0.925,1,0.997,1
138,0.926,1,0.997,1
139,0.926,1,0.997,1
140,0.928,1,0.997,1
141,0.93,1,0.997,1
142,0.931,1,0.997,1
143,0.931,1,0.997,1
144,0.934,1,0.997,1
145,0.936,1,0.997,1
146,0.936,1,0.997,1
147,0.937,1,0.997,1
148,0.937,1,0.997,1
149,0.937,1,0.998,1
150,0.937,1,0.998,1
