1,1.3962e-05
2,1.3962e-05
3,1.3962e-05
4,1.3962e-05
5,1.3962e-05
6,1.3962e-05
7,1.3962e-05
8,1.3962e-05
9,1.3962e-05
10,1.3962e-05
11,1.3962e-05
12,1.3962e-05
13,1.3962e-05
14,1.3962e-05
15,1.3962e-05
16,1.3962e-05
17,1.3945e-05
18,1.3725e-05
19,1.3658e-05
20,1.3489e-05
21,1.3337e-05
22,1.2949e-05
23,1.2645e-05
24,1.2425e-05
25,1.2105e-05
26,1.1868e-05
27,1.1666e-05
28,1.0822e-05
29,1.0281e-05
30,9.8593e-06
31,9.5723e-06
32,9.184e-06
33,8.6775e-06
34,8.2892e-06
35,8.0866e-06
36,7.7152e-06
37,7.6139e-06
38,7.462e-06
39,7.4113e-06
40,7.2594e-06
41,6.9555e-06
42,6.6516e-06
43,6.3815e-06
44,6.2802e-06
45,6.1114e-06
46,5.9595e-06
47,5.7569e-06
48,5.6049e-06
49,5.4023e-06
50,5.1491e-06
51,4.8452e-06
52,4.4907e-06
53,4.1699e-06
54,4.0686e-06
55,3.7141e-06
56,3.6128e-06
57,3.5115e-06
58,3.157e-06
59,2.8531e-06
60,2.7518e-06
61,2.583e-06
62,2.5323e-06
63,2.5323e-06
64,2.4817e-06
65,2.4142e-06
66,2.1609e-06
67,1.9921e-06
68,1.8402e-06
69,1.6376e-06
70,1.5869e-06
71,1.5869e-06
72,1.3337e-06
73,1.2831e-06
74,1.1818e-06
75,1.1818e-06
76,1.1311e-06
77,9.6229e-07
78,8.61e-07
79,8.61e-07
80,7.597e-07
81,6.5841e-07
82,6.0776e-07
83,5.5712e-07
84,5.5712e-07
85,5.0647e-07
86,5.0647e-07
87,4.0518e-07
88,3.5453e-07
89,3.5453e-07
90,3.0388e-07
91,2.5323e-07
92,2.5323e-07
93,2.5323e-07
94,2.5323e-07
95,2.0259e-07
96,2.0259e-07
97,2.0259e-07
98,1.5194e-07
99,1.5194e-07
100,1.5194e-07
101,1.5194e-07
102,1.5194e-07
103,1.5194e-07
104,1.5194e-07
105,1.5194e-07
106,1.5194e-07
107,1.5194e-07
108,1.5194e-07
109,1.5194e-07
110,1.0129e-07
111,1.0129e-07
112,1.0129e-07
113,1.0129e-07
114,1.0129e-07
115,1.0129e-07
116,5.0647e-08
117,5.0647e-08
118,5.0647e-08
119,5.0647e-08
120,5.0647e-08
121,5.0647e-08
122,5.0647e-08
123,5.0647e-08
124,5.0647e-08
125,5.0647e-08
126,5.0647e-08
127,5.0647e-08
128,5.0647e-08
129,5.0647e-08
130,5.0647e-08
131,5.0647e-08
132,5.0647e-08
133,5.0647e-08
134,5.0647e-08
135,5.0647e-08
136,5.0647e-08
137,5.0647e-08
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
