sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0.001,0.001,0.001
20,0.001,0.001,0.001
21,0.002,0.002,0.002
22,0.003,0.003,0.003
23,0.006,0.006,0.006
24,0.009,0.009,0.009
25,0.016,0.016,0.016
26,0.022,0.022,0.022
27,0.029,0.03,0.03
28,0.039,0.041,0.041
29,0.051,0.053,0.053
30,0.065,0.067,0.067
31,0.083,0.086,0.086
32,0.099,0.104,0.104
33,0.115,0.124,0.124
34,0.133,0.145,0.145
35,0.154,0.172,0.172
36,0.175,0.197,0.197
37,0.199,0.234,0.234
38,0.228,0.269,0.269
39,0.245,0.299,0.299
40,0.263,0.337,0.337
41,0.282,0.375,0.375
42,0.316,0.428,0.428
43,0.333,0.471,0.471
44,0.353,0.514,0.514
45,0.371,0.553,0.553
46,0.396,0.601,0.601
47,0.412,0.645,0.645
48,0.422,0.684,0.684
49,0.436,0.732,0.732
50,0.457,0.771,0.771
51,0.47,0.813,0.813
52,0.485,0.842,0.842
53,0.496,0.87,0.87
54,0.508,0.892,0.892
55,0.521,0.917,0.917
56,0.536,0.934,0.934
57,0.546,0.943,0.943
58,0.557,0.952,0.952
59,0.564,0.961,0.961
60,0.574,0.967,0.967
61,0.586,0.975,0.975
62,0.596,0.982,0.982
63,0.603,0.985,0.985
64,0.612,0.987,0.987
65,0.619,0.987,0.987
66,0.63,0.989,0.989
67,0.64,0.994,0.994
68,0.645,0.997,0.997
69,0.656,0.998,0.998
70,0.665,0.998,0.998
71,0.668,0.998,0.998
72,0.677,0.998,0.998
73,0.68,0.998,0.998
74,0.686,0.998,0.998
75,0.693,0.999,0.999
76,0.703,0.999,0.999
77,0.709,1,1
78,0.719,1,1
79,0.722,1,1
80,0.727,1,1
81,0.731,1,1
82,0.735,1,1
83,0.74,1,1
84,0.744,1,1
85,0.753,1,1
86,0.758,1,1
87,0.761,1,1
88,0.764,1,1
89,0.767,1,1
90,0.771,1,1
91,0.776,1,1
92,0.781,1,1
93,0.783,1,1
94,0.786,1,1
95,0.792,1,1
96,0.794,1,1
97,0.798,1,1
98,0.8,1,1
99,0.804,1,1
100,0.808,1,1
101,0.812,1,1
102,0.813,1,1
103,0.815,1,1
104,0.82,1,1
105,0.822,1,1
106,0.826,1,1
107,0.828,1,1
108,0.829,1,1
109,0.83,1,1
110,0.833,1,1
111,0.833,1,1
112,0.836,1,1
113,0.839,1,1
114,0.84,1,1
115,0.842,1,1
116,0.843,1,1
117,0.846,1,1
118,0.847,1,1
119,0.849,1,1
120,0.853,1,1
121,0.856,1,1
122,0.858,1,1
123,0.861,1,1
124,0.862,1,1
125,0.865,1,1
126,0.868,1,1
127,0.87,1,1
128,0.871,1,1
129,0.872,1,1
130,0.874,1,1
131,0.878,1,1
132,0.88,1,1
133,0.881,1,1
134,0.882,1,1
135,0.883,1,1
136,0.886,1,1
137,0.887,1,1
138,0.888,1,1
139,0.89,1,1
140,0.893,1,1
141,0.895,1,1
142,0.896,1,1
143,0.897,1,1
144,0.898,1,1
145,0.9,1,1
146,0.9,1,1
147,0.901,1,1
148,0.901,1,1
149,0.905,1,1
150,0.905,1,1
