sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0.001,0
36,0.002,0.003,0
37,0.002,0.005,0
38,0.002,0.006,0
39,0.002,0.006,0
40,0.003,0.007,0
41,0.005,0.011,0.001
42,0.009,0.02,0.005
43,0.015,0.03,0.01
44,0.017,0.039,0.017
45,0.023,0.052,0.024
46,0.029,0.074,0.039
47,0.035,0.093,0.052
48,0.041,0.11,0.068
49,0.048,0.129,0.089
50,0.056,0.165,0.118
51,0.064,0.205,0.163
52,0.076,0.248,0.206
53,0.084,0.288,0.253
54,0.091,0.334,0.303
55,0.107,0.384,0.354
56,0.12,0.441,0.415
57,0.135,0.517,0.492
58,0.14,0.566,0.549
59,0.152,0.61,0.592
60,0.173,0.65,0.636
61,0.188,0.702,0.686
62,0.202,0.734,0.722
63,0.214,0.769,0.759
64,0.225,0.801,0.796
65,0.241,0.825,0.82
66,0.265,0.852,0.849
67,0.278,0.873,0.872
68,0.289,0.899,0.899
69,0.304,0.919,0.919
70,0.316,0.932,0.932
71,0.335,0.949,0.948
72,0.348,0.955,0.954
73,0.364,0.966,0.965
74,0.378,0.975,0.974
75,0.396,0.98,0.979
76,0.413,0.983,0.982
77,0.426,0.986,0.985
78,0.434,0.987,0.986
79,0.446,0.989,0.989
80,0.456,0.989,0.989
81,0.469,0.989,0.989
82,0.476,0.992,0.992
83,0.488,0.994,0.994
84,0.497,0.996,0.996
85,0.503,0.997,0.997
86,0.513,0.997,0.997
87,0.524,0.998,0.998
88,0.53,0.998,0.998
89,0.544,1,1
90,0.547,1,1
91,0.559,1,1
92,0.569,1,1
93,0.575,1,1
94,0.582,1,1
95,0.591,1,1
96,0.601,1,1
97,0.609,1,1
98,0.617,1,1
99,0.622,1,1
100,0.623,1,1
101,0.63,1,1
102,0.639,1,1
103,0.646,1,1
104,0.654,1,1
105,0.661,1,1
106,0.666,1,1
107,0.669,1,1
108,0.673,1,1
109,0.676,1,1
110,0.684,1,1
111,0.684,1,1
112,0.688,1,1
113,0.692,1,1
114,0.699,1,1
115,0.707,1,1
116,0.715,1,1
117,0.723,1,1
118,0.727,1,1
119,0.737,1,1
120,0.739,1,1
121,0.742,1,1
122,0.744,1,1
123,0.748,1,1
124,0.761,1,1
125,0.763,1,1
126,0.765,1,1
127,0.771,1,1
128,0.774,1,1
129,0.778,1,1
130,0.783,1,1
131,0.789,1,1
132,0.792,1,1
133,0.795,1,1
134,0.797,1,1
135,0.802,1,1
136,0.802,1,1
137,0.803,1,1
138,0.808,1,1
139,0.81,1,1
140,0.812,1,1
141,0.814,1,1
142,0.815,1,1
143,0.817,1,1
144,0.821,1,1
145,0.823,1,1
146,0.825,1,1
147,0.828,1,1
148,0.829,1,1
149,0.834,1,1
150,0.834,1,1
