sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0.001,0
43,0,0.002,0
44,0,0.005,0.003
45,0,0.014,0.008
46,0,0.031,0.02
47,0,0.06,0.039
48,0,0.101,0.068
49,0,0.165,0.117
50,0,0.287,0.237
51,0.001,0.425,0.371
52,0.002,0.588,0.538
53,0.002,0.74,0.699
54,0.003,0.861,0.848
55,0.004,0.929,0.925
56,0.004,0.977,0.974
57,0.004,0.992,0.992
58,0.004,0.993,0.993
59,0.004,0.999,0.999
60,0.004,0.999,0.999
61,0.004,1,1
62,0.005,1,1
63,0.006,1,1
64,0.007,1,1
65,0.007,1,1
66,0.007,1,1
67,0.007,1,1
68,0.008,1,1
69,0.01,1,1
70,0.011,1,1
71,0.011,1,1
72,0.012,1,1
73,0.013,1,1
74,0.014,1,1
75,0.017,1,1
76,0.019,1,1
77,0.019,1,1
78,0.025,1,1
79,0.027,1,1
80,0.028,1,1
81,0.029,1,1
82,0.031,1,1
83,0.033,1,1
84,0.038,1,1
85,0.04,1,1
86,0.04,1,1
87,0.042,1,1
88,0.043,1,1
89,0.043,1,1
90,0.044,1,1
91,0.047,1,1
92,0.047,1,1
93,0.049,1,1
94,0.052,1,1
95,0.051,1,1
96,0.053,1,1
97,0.055,1,1
98,0.054,1,1
99,0.054,1,1
100,0.056,1,1
101,0.058,1,1
102,0.058,1,1
103,0.059,1,1
104,0.061,1,1
105,0.06,1,1
106,0.061,1,1
107,0.062,1,1
108,0.061,1,1
109,0.062,1,1
110,0.064,1,1
111,0.068,1,1
112,0.069,1,1
113,0.072,1,1
114,0.073,1,1
115,0.072,1,1
116,0.074,1,1
117,0.078,1,1
118,0.078,1,1
119,0.078,1,1
120,0.079,1,1
121,0.081,1,1
122,0.086,1,1
123,0.086,1,1
124,0.09,1,1
125,0.094,1,1
126,0.094,1,1
127,0.095,1,1
128,0.099,1,1
129,0.101,1,1
130,0.103,1,1
131,0.103,1,1
132,0.104,1,1
133,0.108,1,1
134,0.111,1,1
135,0.113,1,1
136,0.112,1,1
137,0.112,1,1
138,0.115,1,1
139,0.12,1,1
140,0.121,1,1
141,0.122,1,1
142,0.128,1,1
143,0.13,1,1
144,0.133,1,1
145,0.138,1,1
146,0.139,1,1
147,0.139,1,1
148,0.139,1,1
149,0.142,1,1
150,0.144,1,1
