sigma,typeI,typeI_o,typeI_oc
1,0.739,0,0
2,0.739,0,0
3,0.739,0,0
4,0.739,0,0
5,0.739,0,0
6,0.739,0,0
7,0.739,0,0
8,0.739,0,0
9,0.739,0,0
10,0.739,0,0
11,0.739,0,0
12,0.739,0,0
13,0.739,0,0
14,0.739,0,0
15,0.739,0,0
16,0.739,0,0
17,0.739,0,0
18,0.739,0,0
19,0.739,0,0
20,0.739,0,0
21,0.739,0,0
22,0.739,0,0
23,0.739,0,0
24,0.739,0,0
25,0.738,0,0
26,0.738,0,0
27,0.738,0,0
28,0.737,0,0
29,0.736,0,0
30,0.736,0,0
31,0.734,0,0
32,0.733,0,0
33,0.732,0,0
34,0.732,0,0
35,0.732,0,0
36,0.732,0,0
37,0.73,0,0
38,0.729,0,0
39,0.729,0,0
40,0.728,0,0
41,0.727,0,0
42,0.726,0,0
43,0.723,0,0
44,0.721,0,0
45,0.718,0,0
46,0.717,0,0
47,0.713,0,0
48,0.711,0,0
49,0.708,0,0
50,0.704,0,0
51,0.701,0,0
52,0.702,0,0
53,0.7,0,0
54,0.698,0,0
55,0.694,0,0
56,0.691,0,0
57,0.69,0,0
58,0.687,0,0
59,0.687,0,0
60,0.685,0,0
61,0.684,0,0
62,0.684,0,0
63,0.682,0,0
64,0.681,0,0
65,0.676,0,0
66,0.673,0,0
67,0.67,0,0
68,0.668,0,0
69,0.665,0,0
70,0.665,0,0
71,0.662,0,0
72,0.659,0,0
73,0.659,0,0
74,0.657,0,0
75,0.657,0,0
76,0.654,0,0
77,0.653,0,0
78,0.649,0,0
79,0.647,0,0
80,0.644,0,0
81,0.644,0,0
82,0.645,0,0
83,0.643,0,0
84,0.641,0,0
85,0.639,0,0
86,0.637,0,0
87,0.632,0,0
88,0.631,0,0
89,0.632,0,0
90,0.63,0,0
91,0.63,0,0
92,0.631,0,0
93,0.631,0,0
94,0.63,0,0
95,0.63,0,0
96,0.627,0,0
97,0.627,0,0
98,0.622,0,0
99,0.622,0,0
100,0.622,0,0
101,0.622,0,0
102,0.621,0,0
103,0.62,0,0
104,0.621,0,0
105,0.62,0,0
106,0.616,0,0
107,0.614,0,0
108,0.611,0,0
109,0.607,0,0
110,0.603,0,0
111,0.6,0,0
112,0.597,0,0
113,0.594,0,0
114,0.592,0,0
115,0.591,0,0
116,0.59,0,0
117,0.591,0,0
118,0.591,0,0
119,0.591,0,0
120,0.589,0,0
121,0.589,0,0
122,0.586,0,0
123,0.586,0,0
124,0.585,0,0
125,0.585,0,0
126,0.585,0,0
127,0.585,0,0
128,0.583,0,0
129,0.583,0,0
130,0.581,0,0
131,0.58,0,0
132,0.579,0,0
133,0.579,0,0
134,0.58,0,0
135,0.58,0,0
136,0.579,0,0
137,0.578,0,0
138,0.576,0,0
139,0.575,0,0
140,0.573,0,0
141,0.574,0,0
142,0.575,0,0
143,0.575,0,0
144,0.576,0,0
145,0.576,0,0
146,0.575,0,0
147,0.574,0,0
148,0.574,0,0
149,0.574,0,0
150,0.574,0,0
