sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0.001,0.001,0.001
31,0.001,0.001,0.001
32,0.001,0.001,0.001
33,0.003,0.003,0.003
34,0.003,0.003,0.003
35,0.003,0.004,0.004
36,0.004,0.006,0.006
37,0.005,0.008,0.008
38,0.006,0.011,0.011
39,0.006,0.013,0.013
40,0.006,0.02,0.02
41,0.008,0.037,0.037
42,0.008,0.056,0.056
43,0.01,0.09,0.09
44,0.01,0.137,0.137
45,0.012,0.201,0.201
46,0.017,0.265,0.265
47,0.019,0.371,0.371
48,0.019,0.472,0.472
49,0.021,0.578,0.578
50,0.027,0.696,0.696
51,0.029,0.801,0.801
52,0.033,0.882,0.882
53,0.035,0.935,0.935
54,0.036,0.96,0.96
55,0.04,0.984,0.984
56,0.041,0.996,0.996
57,0.043,0.998,0.998
58,0.045,1,1
59,0.047,1,1
60,0.049,1,1
61,0.05,1,1
62,0.051,1,1
63,0.052,1,1
64,0.052,1,1
65,0.051,1,1
66,0.052,1,1
67,0.054,1,1
68,0.062,1,1
69,0.066,1,1
70,0.069,1,1
71,0.07,1,1
72,0.075,1,1
73,0.08,1,1
74,0.081,1,1
75,0.082,1,1
76,0.081,1,1
77,0.081,1,1
78,0.084,1,1
79,0.085,1,1
80,0.089,1,1
81,0.089,1,1
82,0.09,1,1
83,0.091,1,1
84,0.092,1,1
85,0.092,1,1
86,0.096,1,1
87,0.096,1,1
88,0.101,1,1
89,0.101,1,1
90,0.102,1,1
91,0.104,1,1
92,0.106,1,1
93,0.106,1,1
94,0.109,1,1
95,0.112,1,1
96,0.111,1,1
97,0.115,1,1
98,0.117,1,1
99,0.118,1,1
100,0.122,1,1
101,0.121,1,1
102,0.123,1,1
103,0.123,1,1
104,0.126,1,1
105,0.131,1,1
106,0.134,1,1
107,0.136,1,1
108,0.139,1,1
109,0.138,1,1
110,0.142,1,1
111,0.143,1,1
112,0.145,1,1
113,0.146,1,1
114,0.147,1,1
115,0.145,1,1
116,0.152,1,1
117,0.155,1,1
118,0.158,1,1
119,0.161,1,1
120,0.166,1,1
121,0.172,1,1
122,0.173,1,1
123,0.176,1,1
124,0.174,1,1
125,0.176,1,1
126,0.175,1,1
127,0.175,1,1
128,0.177,1,1
129,0.178,1,1
130,0.18,1,1
131,0.181,1,1
132,0.182,1,1
133,0.185,1,1
134,0.186,1,1
135,0.185,1,1
136,0.188,1,1
137,0.189,1,1
138,0.19,1,1
139,0.191,1,1
140,0.191,1,1
141,0.192,1,1
142,0.196,1,1
143,0.196,1,1
144,0.199,1,1
145,0.199,1,1
146,0.201,1,1
147,0.202,1,1
148,0.203,1,1
149,0.205,1,1
150,0.209,1,1
