sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0.001,0.001,0.001
21,0.001,0.001,0.001
22,0.003,0.003,0.003
23,0.006,0.006,0.006
24,0.009,0.009,0.009
25,0.011,0.011,0.011
26,0.015,0.015,0.015
27,0.022,0.022,0.022
28,0.033,0.033,0.033
29,0.048,0.048,0.048
30,0.059,0.059,0.059
31,0.071,0.072,0.072
32,0.087,0.088,0.088
33,0.103,0.106,0.106
34,0.115,0.118,0.118
35,0.131,0.137,0.137
36,0.147,0.163,0.163
37,0.164,0.185,0.185
38,0.179,0.211,0.211
39,0.202,0.247,0.247
40,0.215,0.27,0.27
41,0.229,0.298,0.298
42,0.249,0.338,0.338
43,0.261,0.365,0.365
44,0.282,0.399,0.399
45,0.296,0.428,0.428
46,0.321,0.475,0.475
47,0.337,0.523,0.523
48,0.351,0.557,0.557
49,0.361,0.584,0.584
50,0.381,0.633,0.633
51,0.395,0.681,0.681
52,0.413,0.728,0.728
53,0.422,0.756,0.756
54,0.44,0.794,0.794
55,0.456,0.819,0.819
56,0.467,0.85,0.85
57,0.485,0.876,0.876
58,0.501,0.895,0.895
59,0.522,0.914,0.914
60,0.538,0.936,0.936
61,0.546,0.947,0.947
62,0.553,0.96,0.96
63,0.562,0.971,0.971
64,0.574,0.976,0.976
65,0.59,0.98,0.98
66,0.595,0.983,0.983
67,0.604,0.987,0.987
68,0.612,0.988,0.988
69,0.621,0.99,0.99
70,0.631,0.99,0.99
71,0.64,0.992,0.992
72,0.652,0.992,0.992
73,0.656,0.993,0.993
74,0.663,0.994,0.994
75,0.671,0.995,0.995
76,0.682,0.996,0.996
77,0.688,0.998,0.998
78,0.699,0.998,0.998
79,0.702,0.998,0.998
80,0.709,0.999,0.999
81,0.712,0.999,0.999
82,0.719,1,1
83,0.725,1,1
84,0.729,1,1
85,0.733,1,1
86,0.738,1,1
87,0.743,1,1
88,0.749,1,1
89,0.754,1,1
90,0.76,1,1
91,0.765,1,1
92,0.771,1,1
93,0.777,1,1
94,0.781,1,1
95,0.783,1,1
96,0.787,1,1
97,0.797,1,1
98,0.799,1,1
99,0.801,1,1
100,0.805,1,1
101,0.809,1,1
102,0.812,1,1
103,0.814,1,1
104,0.819,1,1
105,0.822,1,1
106,0.824,1,1
107,0.83,1,1
108,0.833,1,1
109,0.835,1,1
110,0.837,1,1
111,0.841,1,1
112,0.842,1,1
113,0.844,1,1
114,0.846,1,1
115,0.847,1,1
116,0.848,1,1
117,0.85,1,1
118,0.852,1,1
119,0.854,1,1
120,0.856,1,1
121,0.857,1,1
122,0.861,1,1
123,0.864,1,1
124,0.865,1,1
125,0.867,1,1
126,0.867,1,1
127,0.87,1,1
128,0.872,1,1
129,0.876,1,1
130,0.878,1,1
131,0.879,1,1
132,0.88,1,1
133,0.881,1,1
134,0.882,1,1
135,0.883,1,1
136,0.884,1,1
137,0.886,1,1
138,0.886,1,1
139,0.886,1,1
140,0.887,1,1
141,0.888,1,1
142,0.889,1,1
143,0.89,1,1
144,0.891,1,1
145,0.892,1,1
146,0.893,1,1
147,0.893,1,1
148,0.894,1,1
149,0.895,1,1
150,0.897,1,1
