sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0.001,0.001,0
36,0.001,0.001,0
37,0.002,0.002,0
38,0.002,0.002,0
39,0.003,0.003,0
40,0.007,0.007,0.001
41,0.008,0.008,0.001
42,0.011,0.011,0.003
43,0.015,0.018,0.003
44,0.016,0.026,0.008
45,0.017,0.034,0.012
46,0.023,0.045,0.019
47,0.026,0.053,0.027
48,0.035,0.074,0.042
49,0.041,0.099,0.063
50,0.049,0.122,0.083
51,0.057,0.16,0.115
52,0.063,0.179,0.131
53,0.068,0.206,0.165
54,0.075,0.234,0.191
55,0.082,0.272,0.229
56,0.095,0.317,0.275
57,0.102,0.349,0.307
58,0.107,0.393,0.352
59,0.117,0.438,0.402
60,0.127,0.493,0.462
61,0.148,0.544,0.517
62,0.168,0.598,0.575
63,0.18,0.637,0.615
64,0.194,0.684,0.662
65,0.204,0.727,0.712
66,0.216,0.761,0.749
67,0.227,0.787,0.777
68,0.239,0.814,0.805
69,0.25,0.851,0.845
70,0.265,0.869,0.864
71,0.274,0.892,0.888
72,0.285,0.908,0.906
73,0.309,0.926,0.925
74,0.315,0.937,0.936
75,0.323,0.942,0.941
76,0.334,0.955,0.955
77,0.343,0.96,0.96
78,0.353,0.964,0.964
79,0.367,0.969,0.969
80,0.377,0.977,0.977
81,0.385,0.98,0.98
82,0.392,0.982,0.982
83,0.405,0.985,0.985
84,0.413,0.987,0.987
85,0.43,0.987,0.987
86,0.442,0.988,0.988
87,0.453,0.988,0.988
88,0.463,0.991,0.991
89,0.469,0.993,0.993
90,0.478,0.994,0.994
91,0.486,0.994,0.994
92,0.49,0.995,0.995
93,0.503,0.995,0.995
94,0.516,0.997,0.997
95,0.525,0.998,0.998
96,0.532,0.998,0.998
97,0.539,0.998,0.998
98,0.544,0.999,0.999
99,0.548,0.999,0.999
100,0.555,0.999,0.999
101,0.56,0.999,0.999
102,0.569,0.999,0.999
103,0.577,0.999,0.999
104,0.58,0.999,0.999
105,0.586,0.999,0.999
106,0.593,0.999,0.999
107,0.601,1,1
108,0.606,1,1
109,0.613,1,1
110,0.618,1,1
111,0.623,1,1
112,0.632,1,1
113,0.638,1,1
114,0.647,1,1
115,0.652,1,1
116,0.661,1,1
117,0.667,1,1
118,0.675,1,1
119,0.679,1,1
120,0.683,1,1
121,0.684,1,1
122,0.692,1,1
123,0.693,1,1
124,0.702,1,1
125,0.708,1,1
126,0.711,1,1
127,0.718,1,1
128,0.722,1,1
129,0.723,1,1
130,0.725,1,1
131,0.728,1,1
132,0.731,1,1
133,0.737,1,1
134,0.74,1,1
135,0.743,1,1
136,0.748,1,1
137,0.751,1,1
138,0.754,1,1
139,0.756,1,1
140,0.759,1,1
141,0.761,1,1
142,0.762,1,1
143,0.765,1,1
144,0.771,1,1
145,0.773,1,1
146,0.777,1,1
147,0.783,1,1
148,0.786,1,1
149,0.786,1,1
150,0.789,1,1
