sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0.001,0.001,0
39,0.001,0.001,0
40,0.001,0.001,0
41,0.001,0.001,0
42,0.001,0.001,0
43,0.002,0.002,0
44,0.002,0.002,0
45,0.002,0.002,0
46,0.003,0.003,0
47,0.003,0.003,0
48,0.004,0.005,0
49,0.005,0.006,0
50,0.009,0.011,0
51,0.012,0.015,0
52,0.013,0.019,0
53,0.016,0.022,0
54,0.024,0.035,0
55,0.024,0.039,0.001
56,0.033,0.054,0.003
57,0.043,0.076,0.007
58,0.047,0.096,0.014
59,0.054,0.117,0.028
60,0.061,0.145,0.048
61,0.069,0.185,0.074
62,0.075,0.226,0.1
63,0.086,0.27,0.137
64,0.094,0.323,0.187
65,0.105,0.378,0.254
66,0.114,0.424,0.311
67,0.122,0.482,0.372
68,0.132,0.526,0.431
69,0.143,0.574,0.492
70,0.154,0.614,0.541
71,0.158,0.645,0.586
72,0.166,0.688,0.646
73,0.177,0.718,0.684
74,0.187,0.754,0.731
75,0.195,0.782,0.764
76,0.205,0.804,0.788
77,0.215,0.826,0.815
78,0.225,0.849,0.84
79,0.236,0.872,0.865
80,0.243,0.889,0.884
81,0.253,0.901,0.897
82,0.264,0.919,0.916
83,0.273,0.929,0.926
84,0.283,0.939,0.936
85,0.294,0.947,0.944
86,0.3,0.959,0.958
87,0.312,0.964,0.963
88,0.324,0.971,0.97
89,0.333,0.976,0.975
90,0.343,0.978,0.977
91,0.355,0.983,0.983
92,0.367,0.984,0.984
93,0.376,0.985,0.985
94,0.382,0.989,0.989
95,0.389,0.99,0.99
96,0.4,0.994,0.994
97,0.406,0.995,0.995
98,0.423,0.995,0.995
99,0.435,0.997,0.997
100,0.442,0.998,0.998
101,0.45,0.999,0.999
102,0.456,0.999,0.999
103,0.463,0.999,0.999
104,0.479,0.999,0.999
105,0.482,1,1
106,0.486,1,1
107,0.489,1,1
108,0.497,1,1
109,0.505,1,1
110,0.515,1,1
111,0.522,1,1
112,0.526,1,1
113,0.531,1,1
114,0.535,1,1
115,0.541,1,1
116,0.546,1,1
117,0.548,1,1
118,0.551,1,1
119,0.559,1,1
120,0.572,1,1
121,0.578,1,1
122,0.583,1,1
123,0.588,1,1
124,0.595,1,1
125,0.599,1,1
126,0.604,1,1
127,0.609,1,1
128,0.613,1,1
129,0.621,1,1
130,0.624,1,1
131,0.628,1,1
132,0.633,1,1
133,0.638,1,1
134,0.639,1,1
135,0.646,1,1
136,0.652,1,1
137,0.657,1,1
138,0.663,1,1
139,0.668,1,1
140,0.672,1,1
141,0.677,1,1
142,0.679,1,1
143,0.68,1,1
144,0.686,1,1
145,0.688,1,1
146,0.692,1,1
147,0.694,1,1
148,0.699,1,1
149,0.701,1,1
150,0.703,1,1
