sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0.001,0
46,0,0.002,0
47,0.001,0.004,0
48,0.004,0.007,0
49,0.004,0.009,0
50,0.006,0.015,0
51,0.009,0.023,0.001
52,0.015,0.038,0.002
53,0.018,0.057,0.005
54,0.021,0.073,0.015
55,0.026,0.102,0.029
56,0.028,0.131,0.043
57,0.03,0.181,0.08
58,0.037,0.216,0.118
59,0.04,0.286,0.178
60,0.046,0.361,0.26
61,0.052,0.434,0.342
62,0.063,0.522,0.437
63,0.069,0.589,0.518
64,0.077,0.651,0.594
65,0.084,0.719,0.677
66,0.094,0.778,0.743
67,0.104,0.824,0.798
68,0.116,0.853,0.838
69,0.121,0.899,0.886
70,0.13,0.921,0.912
71,0.138,0.942,0.935
72,0.152,0.956,0.952
73,0.167,0.968,0.965
74,0.183,0.979,0.977
75,0.195,0.987,0.986
76,0.201,0.989,0.988
77,0.21,0.992,0.991
78,0.219,0.995,0.995
79,0.229,0.997,0.997
80,0.237,0.998,0.998
81,0.252,0.999,0.999
82,0.266,1,1
83,0.279,1,1
84,0.287,1,1
85,0.295,1,1
86,0.307,1,1
87,0.319,1,1
88,0.329,1,1
89,0.341,1,1
90,0.355,1,1
91,0.363,1,1
92,0.368,1,1
93,0.375,1,1
94,0.384,1,1
95,0.389,1,1
96,0.398,1,1
97,0.406,1,1
98,0.416,1,1
99,0.428,1,1
100,0.439,1,1
101,0.454,1,1
102,0.466,1,1
103,0.472,1,1
104,0.478,1,1
105,0.483,1,1
106,0.487,1,1
107,0.496,1,1
108,0.503,1,1
109,0.513,1,1
110,0.52,1,1
111,0.53,1,1
112,0.536,1,1
113,0.54,1,1
114,0.548,1,1
115,0.553,1,1
116,0.559,1,1
117,0.562,1,1
118,0.569,1,1
119,0.579,1,1
120,0.59,1,1
121,0.598,1,1
122,0.608,1,1
123,0.61,1,1
124,0.614,1,1
125,0.619,1,1
126,0.627,1,1
127,0.63,1,1
128,0.632,1,1
129,0.637,1,1
130,0.642,1,1
131,0.647,1,1
132,0.654,1,1
133,0.657,1,1
134,0.66,1,1
135,0.666,1,1
136,0.67,1,1
137,0.671,1,1
138,0.676,1,1
139,0.68,1,1
140,0.684,1,1
141,0.686,1,1
142,0.689,1,1
143,0.693,1,1
144,0.701,1,1
145,0.707,1,1
146,0.711,1,1
147,0.714,1,1
148,0.715,1,1
149,0.718,1,1
150,0.724,1,1
