sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1.7671e-06
23,1.7671e-06
24,1.7671e-06
25,3.5342e-06
26,3.5342e-06
27,3.5342e-06
28,3.5342e-06
29,1.7671e-05
30,1.9438e-05
31,2.4739e-05
32,3.7109e-05
33,4.0643e-05
34,4.7712e-05
35,5.8314e-05
36,6.3615e-05
37,7.5985e-05
38,0.00010249
39,0.00013077
40,0.00014667
41,0.00019261
42,0.00022442
43,0.00029864
44,0.00034458
45,0.0004188
46,0.00052483
47,0.00073158
48,0.0009772
49,0.0013024
50,0.0016416
51,0.0020799
52,0.0025853
53,0.0033062
54,0.0039742
55,0.0048684
56,0.0061177
57,0.0075437
58,0.0091624
59,0.011175
60,0.013635
61,0.01657
62,0.019767
63,0.023531
64,0.027964
65,0.033499
66,0.039177
67,0.045577
68,0.052902
69,0.061912
70,0.071067
71,0.081857
72,0.093716
73,0.10735
74,0.1218
75,0.13911
76,0.1563
77,0.17458
78,0.19445
79,0.21443
80,0.23615
81,0.25881
82,0.28136
83,0.3047
84,0.32914
85,0.35241
86,0.37618
87,0.40054
88,0.42462
89,0.44838
90,0.47158
91,0.49473
92,0.51729
93,0.54003
94,0.56099
95,0.58224
96,0.60307
97,0.62138
98,0.6389
99,0.65712
100,0.67482
101,0.69209
102,0.70887
103,0.72424
104,0.73828
105,0.75183
106,0.76559
107,0.77812
108,0.79045
109,0.80181
110,0.81254
111,0.82285
112,0.83317
113,0.84127
114,0.84881
115,0.85652
116,0.86391
117,0.87125
118,0.8778
119,0.88396
120,0.89058
121,0.8961
122,0.90123
123,0.9055
124,0.91057
125,0.91513
126,0.91916
127,0.92352
128,0.92763
129,0.93077
130,0.93391
131,0.93671
132,0.93942
133,0.94218
134,0.94476
135,0.94708
136,0.94969
137,0.95175
138,0.95421
139,0.95662
140,0.95885
141,0.96096
142,0.96288
143,0.9645
144,0.96599
145,0.96747
146,0.96882
147,0.97005
148,0.97129
149,0.97261
150,0.97353
