sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,7.2088e-07
27,7.2088e-07
28,1.4418e-06
29,2.1626e-06
30,3.6044e-06
31,5.0461e-06
32,7.2088e-06
33,1.1534e-05
34,1.5859e-05
35,1.8022e-05
36,2.0905e-05
37,2.5231e-05
38,3.5323e-05
39,4.3973e-05
40,5.4066e-05
41,7.2088e-05
42,8.9389e-05
43,0.00011318
44,0.00013048
45,0.00016292
46,0.00021843
47,0.00028547
48,0.00036404
49,0.00048299
50,0.00069637
51,0.00088596
52,0.0010936
53,0.0014792
54,0.0018426
55,0.002345
56,0.0030435
57,0.0036959
58,0.0046713
59,0.0057533
60,0.0070134
61,0.0084681
62,0.010293
63,0.012364
64,0.014975
65,0.018368
66,0.022323
67,0.026916
68,0.032276
69,0.039172
70,0.047014
71,0.056276
72,0.066892
73,0.07919
74,0.092544
75,0.10749
76,0.12417
77,0.14139
78,0.16115
79,0.18025
80,0.20134
81,0.22395
82,0.24709
83,0.2708
84,0.29524
85,0.32052
86,0.34507
87,0.37023
88,0.39546
89,0.42018
90,0.4445
91,0.46893
92,0.493
93,0.51641
94,0.53933
95,0.56164
96,0.58219
97,0.60258
98,0.62216
99,0.64164
100,0.65978
101,0.67717
102,0.69367
103,0.70949
104,0.72483
105,0.73885
106,0.75259
107,0.76571
108,0.77774
109,0.78951
110,0.80082
111,0.81096
112,0.82089
113,0.83045
114,0.83919
115,0.84716
116,0.85529
117,0.86259
118,0.86984
119,0.8769
120,0.88354
121,0.8892
122,0.89463
123,0.89978
124,0.90483
125,0.90964
126,0.91429
127,0.91861
128,0.92243
129,0.92642
130,0.93017
131,0.9336
132,0.93689
133,0.93967
134,0.94263
135,0.94534
136,0.9479
137,0.95043
138,0.95285
139,0.95502
140,0.95705
141,0.95903
142,0.96094
143,0.96262
144,0.96433
145,0.96599
146,0.96754
147,0.96895
148,0.97029
149,0.9716
150,0.97293
