sigma,probtypeI
1,0.075395
2,0.075395
3,0.075395
4,0.075395
5,0.075395
6,0.075395
7,0.075395
8,0.075395
9,0.075395
10,0.075395
11,0.075395
12,0.075395
13,0.075395
14,0.075395
15,0.075395
16,0.075395
17,0.075395
18,0.075394
19,0.075394
20,0.075393
21,0.075391
22,0.075389
23,0.075384
24,0.075379
25,0.075372
26,0.075362
27,0.075353
28,0.075341
29,0.075329
30,0.075318
31,0.075306
32,0.075294
33,0.075281
34,0.075268
35,0.075256
36,0.075245
37,0.075235
38,0.075225
39,0.075215
40,0.075203
41,0.075192
42,0.075183
43,0.075174
44,0.075167
45,0.075158
46,0.075151
47,0.075144
48,0.075136
49,0.075129
50,0.075123
51,0.075117
52,0.075111
53,0.075106
54,0.0751
55,0.075095
56,0.075091
57,0.075086
58,0.075082
59,0.075077
60,0.075072
61,0.075067
62,0.075064
63,0.075061
64,0.075057
65,0.075053
66,0.075049
67,0.075046
68,0.075043
69,0.07504
70,0.075038
71,0.075035
72,0.075033
73,0.07503
74,0.075028
75,0.075026
76,0.075024
77,0.075022
78,0.07502
79,0.075018
80,0.075016
81,0.075014
82,0.075012
83,0.075011
84,0.075009
85,0.075007
86,0.075005
87,0.075004
88,0.075003
89,0.075002
90,0.075002
91,0.075001
92,0.074999
93,0.074998
94,0.074997
95,0.074995
96,0.074994
97,0.074993
98,0.074992
99,0.074991
100,0.07499
101,0.07499
102,0.074989
103,0.074987
104,0.074987
105,0.074986
106,0.074985
107,0.074985
108,0.074984
109,0.074984
110,0.074983
111,0.074982
112,0.07498
113,0.074979
114,0.074979
115,0.074978
116,0.074977
117,0.074976
118,0.074976
119,0.074975
120,0.074974
121,0.074974
122,0.074973
123,0.074973
124,0.074972
125,0.074971
126,0.074971
127,0.07497
128,0.07497
129,0.07497
130,0.074969
131,0.074969
132,0.074969
133,0.074968
134,0.074967
135,0.074966
136,0.074966
137,0.074965
138,0.074965
139,0.074965
140,0.074964
141,0.074964
142,0.074963
143,0.074963
144,0.074963
145,0.074962
146,0.074962
147,0.074961
148,0.074961
149,0.074961
150,0.07496
