sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0.001,0.001,0
34,0.001,0.001,0
35,0.001,0.001,0
36,0.001,0.001,0
37,0.002,0.002,0
38,0.002,0.002,0
39,0.005,0.005,0
40,0.007,0.008,0
41,0.012,0.013,0
42,0.014,0.019,0
43,0.02,0.029,0.002
44,0.025,0.043,0.007
45,0.029,0.079,0.016
46,0.033,0.122,0.043
47,0.037,0.177,0.09
48,0.049,0.254,0.165
49,0.06,0.345,0.262
50,0.074,0.438,0.371
51,0.096,0.555,0.498
52,0.11,0.668,0.636
53,0.123,0.75,0.727
54,0.131,0.824,0.81
55,0.15,0.878,0.87
56,0.167,0.927,0.922
57,0.19,0.951,0.951
58,0.207,0.967,0.967
59,0.222,0.979,0.979
60,0.232,0.988,0.988
61,0.256,0.994,0.994
62,0.269,0.997,0.997
63,0.283,1,1
64,0.297,1,1
65,0.312,1,1
66,0.329,1,1
67,0.346,1,1
68,0.369,1,1
69,0.387,1,1
70,0.41,1,1
71,0.429,1,1
72,0.448,1,1
73,0.461,1,1
74,0.482,1,1
75,0.503,1,1
76,0.517,1,1
77,0.535,1,1
78,0.547,1,1
79,0.562,1,1
80,0.571,1,1
81,0.584,1,1
82,0.596,1,1
83,0.601,1,1
84,0.615,1,1
85,0.626,1,1
86,0.635,1,1
87,0.644,1,1
88,0.654,1,1
89,0.66,1,1
90,0.67,1,1
91,0.678,1,1
92,0.691,1,1
93,0.697,1,1
94,0.705,1,1
95,0.711,1,1
96,0.719,1,1
97,0.728,1,1
98,0.739,1,1
99,0.748,1,1
100,0.756,1,1
101,0.762,1,1
102,0.771,1,1
103,0.778,1,1
104,0.786,1,1
105,0.789,1,1
106,0.796,1,1
107,0.801,1,1
108,0.809,1,1
109,0.812,1,1
110,0.822,1,1
111,0.825,1,1
112,0.832,1,1
113,0.838,1,1
114,0.844,1,1
115,0.849,1,1
116,0.856,1,1
117,0.859,1,1
118,0.861,1,1
119,0.87,1,1
120,0.875,1,1
121,0.879,1,1
122,0.883,1,1
123,0.886,1,1
124,0.891,1,1
125,0.895,1,1
126,0.899,1,1
127,0.903,1,1
128,0.908,1,1
129,0.911,1,1
130,0.914,1,1
131,0.916,1,1
132,0.917,1,1
133,0.918,1,1
134,0.922,1,1
135,0.923,1,1
136,0.925,1,1
137,0.928,1,1
138,0.932,1,1
139,0.932,1,1
140,0.933,1,1
141,0.933,1,1
142,0.935,1,1
143,0.935,1,1
144,0.936,1,1
145,0.937,1,1
146,0.94,1,1
147,0.941,1,1
148,0.942,1,1
149,0.943,1,1
150,0.944,1,1
